x, y, beta, gamma, rx, ry
0,0,0.138984, 0.0226429, 0.0216354, 0.0274169
0,1,0.316259, 0.0497424, 0.0351297, 0.0597518
0,2,0.56187, 0.0818269, 0.0545981, 0.0978437
0,3,0.808827, 0.125632, 0.0783254, 0.138628
0,4,1.00282, 0.164497, 0.0989618, 0.173348
0,5,1.11534, 0.19383, 0.107668, 0.19124
0,6,1.17206, 0.227198, 0.117078, 0.202749
0,7,1.14411, 0.275551, 0.119251, 0.203212
0,8,1.0387, 0.302655, 0.112523, 0.188024
0,9,0.86037, 0.315595, 0.100711, 0.161569
0,10,0.651701, 0.303082, 0.0888692, 0.129409
0,11,0.417287, 0.270501, 0.0706289, 0.0907571
1,0,0.165512, 0.0330931, 0.0184941, 0.0276213
1,1,0.388979, 0.0684841, 0.0386119, 0.0711184
1,2,0.677607, 0.115969, 0.0688592, 0.1202
1,3,0.958073, 0.16781, 0.0943956, 0.163773
1,4,1.17478, 0.196938, 0.113392, 0.201966
1,5,1.26074, 0.225809, 0.122834, 0.216548
1,6,1.27681, 0.273786, 0.129388, 0.222901
1,7,1.24553, 0.339008, 0.133035, 0.223815
1,8,1.17525, 0.390534, 0.133832, 0.216021
1,9,1.0119, 0.443399, 0.130358, 0.196311
1,10,0.795797, 0.481628, 0.123384, 0.165846
1,11,0.532095, 0.490354, 0.110219, 0.125811
2,0,0.174522, 0.0295158, 0.0188276, 0.0360167
2,1,0.4214, 0.081761, 0.0464457, 0.0727603
2,2,0.727415, 0.161125, 0.0746332, 0.130198
2,3,1.0064, 0.242413, 0.10598, 0.17934
2,4,1.20389, 0.291655, 0.126539, 0.213042
2,5,1.26935, 0.333218, 0.136046, 0.226746
2,6,1.27222, 0.3932, 0.142684, 0.232219
2,7,1.24339, 0.462256, 0.148575, 0.232833
2,8,1.18733, 0.528176, 0.152322, 0.229099
2,9,1.06232, 0.622759, 0.157672, 0.217709
2,10,0.851837, 0.726346, 0.162267, 0.193716
2,11,0.598167, 0.781537, 0.156897, 0.157688
3,0,0.17454, 0.0794852, 0.0268848, 0.0378501
3,1,0.423525, 0.170726, 0.0603455, 0.0801822
3,2,0.713976, 0.309458, 0.0938979, 0.139348
3,3,0.965945, 0.434496, 0.128521, 0.188322
3,4,1.12489, 0.525718, 0.153233, 0.219764
3,5,1.17035, 0.592714, 0.164325, 0.232203
3,6,1.17323, 0.647805, 0.171694, 0.237135
3,7,1.15001, 0.712683, 0.178678, 0.238285
3,8,1.10714, 0.773573, 0.184908, 0.236508
3,9,0.998515, 0.884195, 0.194712, 0.228575
3,10,0.822436, 1.04245, 0.212387, 0.214374
3,11,0.603645, 1.14128, 0.218434, 0.189958
4,0,0.167794, 0.138102, 0.0351377, 0.0358667
4,1,0.393621, 0.285907, 0.0740777, 0.0897339
4,2,0.644303, 0.506325, 0.123188, 0.14393
4,3,0.853354, 0.696879, 0.162771, 0.191798
4,4,0.978486, 0.841318, 0.191184, 0.222986
4,5,1.00876, 0.942289, 0.206265, 0.235413
4,6,1.01085, 1.00161, 0.215086, 0.240257
4,7,0.993042, 1.0605, 0.223136, 0.242285
4,8,0.961806, 1.11372, 0.229971, 0.241619
4,9,0.883488, 1.21874, 0.24175, 0.238178
4,10,0.729922, 1.41754, 0.269051, 0.230624
4,11,0.566326, 1.51324, 0.277308, 0.214426
5,0,0.146889, 0.252685, 0.0583192, 0.0509546
5,1,0.34593, 0.484524, 0.104978, 0.0944285
5,2,0.535759, 0.782737, 0.161211, 0.148494
5,3,0.680595, 1.05016, 0.208942, 0.192628
5,4,0.764341, 1.25118, 0.24229, 0.222816
5,5,0.796893, 1.3711, 0.26063, 0.237123
5,6,0.796761, 1.44239, 0.270248, 0.242656
5,7,0.784838, 1.49498, 0.277747, 0.245113
5,8,0.773384, 1.51526, 0.281181, 0.245063
5,9,0.712943, 1.60454, 0.292974, 0.243141
5,10,0.595894, 1.76657, 0.31829, 0.238322
5,11,0.472411, 1.8409, 0.328568, 0.226431
6,0,0.114636, 0.39039, 0.0779031, 0.0524672
6,1,0.269383, 0.721052, 0.138954, 0.100432
6,2,0.402021, 1.10622, 0.204491, 0.156431
6,3,0.502592, 1.44253, 0.264426, 0.198536
6,4,0.554372, 1.67995, 0.303131, 0.224454
6,5,0.586084, 1.78935, 0.31845, 0.238744
6,6,0.604213, 1.83433, 0.322877, 0.244846
6,7,0.605359, 1.86305, 0.326933, 0.247409
6,8,0.605323, 1.86225, 0.327255, 0.247532
6,9,0.565357, 1.91981, 0.335606, 0.246186
6,10,0.485827, 2.02256, 0.353825, 0.242362
6,11,0.398758, 2.05589, 0.360646, 0.232265
7,0,0.0888637, 0.50664, 0.0962369, 0.0572495
7,1,0.204845, 0.922414, 0.165737, 0.111363
7,2,0.306888, 1.38748, 0.246875, 0.163052
7,3,0.377639, 1.77143, 0.31493, 0.204451
7,4,0.405834, 2.04292, 0.35964, 0.231586
7,5,0.451111, 2.08891, 0.36412, 0.242461
7,6,0.475232, 2.10201, 0.364497, 0.24705
7,7,0.48434, 2.1114, 0.365611, 0.249271
7,8,0.487316, 2.10495, 0.364247, 0.249146
7,9,0.467449, 2.12524, 0.367189, 0.247719
7,10,0.401667, 2.20805, 0.382262, 0.244556
7,11,0.337332, 2.21038, 0.384659, 0.235564
8,0,0.0669871, 0.577817, 0.109816, 0.0622594
8,1,0.16151, 1.04599, 0.186031, 0.112593
8,2,0.24616, 1.55324, 0.27583, 0.168142
8,3,0.303721, 1.95561, 0.343403, 0.20911
8,4,0.330353, 2.20667, 0.386375, 0.2333
8,5,0.37697, 2.23765, 0.388736, 0.243327
8,6,0.399586, 2.24751, 0.38951, 0.247621
8,7,0.421655, 2.2305, 0.385437, 0.249451
8,8,0.436497, 2.19948, 0.37928, 0.249244
8,9,0.430696, 2.19075, 0.377367, 0.247739
8,10,0.375958, 2.25114, 0.389184, 0.244171
8,11,0.323011, 2.22905, 0.387457, 0.234395
9,0,0.054986, 0.613766, 0.108544, 0.0659942
9,1,0.134718, 1.10683, 0.197365, 0.113484
9,2,0.205457, 1.64669, 0.288546, 0.168138
9,3,0.253916, 2.08754, 0.365845, 0.211868
9,4,0.292711, 2.26647, 0.394821, 0.232838
9,5,0.324767, 2.31806, 0.402871, 0.241847
9,6,0.352363, 2.31848, 0.401586, 0.246077
9,7,0.373524, 2.30519, 0.398336, 0.248438
9,8,0.391511, 2.2654, 0.390756, 0.247838
9,9,0.401598, 2.21944, 0.381863, 0.245425
9,10,0.358314, 2.24619, 0.387636, 0.241247
9,11,0.308489, 2.19929, 0.381625, 0.230505
10,0,0.0512631, 0.604948, 0.107897, 0.0606166
10,1,0.11593, 1.08711, 0.192521, 0.110492
10,2,0.177454, 1.61663, 0.284182, 0.16147
10,3,0.227047, 2.06011, 0.359565, 0.206445
10,4,0.257742, 2.26403, 0.394932, 0.227968
10,5,0.27703, 2.35408, 0.410463, 0.238076
10,6,0.309561, 2.35205, 0.408093, 0.242323
10,7,0.332033, 2.34072, 0.405348, 0.244911
10,8,0.356345, 2.28399, 0.394058, 0.244146
10,9,0.368767, 2.22315, 0.382442, 0.240844
10,10,0.34106, 2.20192, 0.379786, 0.235219
10,11,0.305242, 2.09905, 0.362712, 0.220636
11,0,0.0533093, 0.546098, 0.101952, 0.057189
11,1,0.0996912, 0.978877, 0.173095, 0.101334
11,2,0.154229, 1.44769, 0.25635, 0.14345
11,3,0.195552, 1.85714, 0.324867, 0.184508
11,4,0.219774, 2.16383, 0.379587, 0.2141
11,5,0.252043, 2.25751, 0.393502, 0.225948
11,6,0.275966, 2.2933, 0.399361, 0.232481
11,7,0.30137, 2.28826, 0.396793, 0.236275
11,8,0.315238, 2.24535, 0.388535, 0.234314
11,9,0.322028, 2.17417, 0.376067, 0.230158
11,10,0.309413, 2.08888, 0.361382, 0.220961
11,11,0.268661, 1.95055, 0.338727, 0.203429
