x, y, beta, gamma, rx, ry
0,0,0.751838, 0.0907064, 0.0744652, 0.127827
0,1,1.06316, 0.134563, 0.101121, 0.18051
0,2,1.27321, 0.168142, 0.119744, 0.214758
0,3,1.36312, 0.202079, 0.129759, 0.231157
0,4,1.39563, 0.240818, 0.135386, 0.239352
0,5,1.38895, 0.303366, 0.139079, 0.242855
0,6,1.36752, 0.358343, 0.141287, 0.24368
0,7,1.34437, 0.399165, 0.142364, 0.243265
0,8,1.32419, 0.414203, 0.141745, 0.241172
0,9,1.27444, 0.428512, 0.139071, 0.234531
0,10,1.17263, 0.426613, 0.132451, 0.218858
0,11,0.952462, 0.396627, 0.115592, 0.182674
1,0,0.813499, 0.107161, 0.0774176, 0.136272
1,1,1.15428, 0.150208, 0.108478, 0.195299
1,2,1.31524, 0.213731, 0.127923, 0.225115
1,3,1.36764, 0.284567, 0.138679, 0.238126
1,4,1.36459, 0.36388, 0.146731, 0.244063
1,5,1.33141, 0.454499, 0.153343, 0.245844
1,6,1.29986, 0.524025, 0.15733, 0.246302
1,7,1.26931, 0.583796, 0.160741, 0.246215
1,8,1.25366, 0.604782, 0.161075, 0.245299
1,9,1.23216, 0.610891, 0.159564, 0.242517
1,10,1.17081, 0.606166, 0.155411, 0.232726
1,11,0.999607, 0.599329, 0.146114, 0.205923
2,0,0.793057, 0.199228, 0.0880054, 0.144047
2,1,1.09848, 0.286086, 0.122137, 0.196031
2,2,1.26367, 0.367613, 0.141867, 0.228975
2,3,1.29597, 0.463775, 0.15485, 0.241362
2,4,1.27334, 0.565868, 0.165265, 0.24579
2,5,1.23161, 0.665285, 0.173555, 0.247102
2,6,1.19011, 0.752446, 0.180714, 0.247522
2,7,1.15329, 0.825789, 0.186727, 0.247567
2,8,1.14521, 0.836294, 0.186384, 0.247055
2,9,1.1355, 0.834292, 0.184526, 0.245354
2,10,1.08652, 0.844576, 0.184628, 0.238758
2,11,0.959177, 0.864246, 0.182059, 0.220413
3,0,0.710632, 0.393767, 0.110317, 0.145792
3,1,0.97745, 0.5353, 0.149026, 0.197177
3,2,1.12134, 0.649857, 0.1714, 0.229396
3,3,1.15469, 0.756426, 0.185885, 0.242861
3,4,1.11777, 0.882625, 0.200826, 0.247136
3,5,1.07264, 0.986716, 0.210467, 0.248329
3,6,1.02183, 1.09191, 0.2214, 0.248836
3,7,0.98004, 1.17577, 0.23034, 0.249035
3,8,0.974764, 1.18225, 0.230757, 0.248719
3,9,0.970932, 1.17647, 0.22974, 0.247658
3,10,0.934595, 1.19964, 0.232881, 0.244011
3,11,0.846023, 1.23304, 0.235838, 0.233506
4,0,0.621035, 0.607, 0.135854, 0.14633
4,1,0.837717, 0.830607, 0.183048, 0.20082
4,2,0.949747, 0.99888, 0.212943, 0.230869
4,3,0.973203, 1.11802, 0.229228, 0.243958
4,4,0.936586, 1.24533, 0.244874, 0.248463
4,5,0.892974, 1.34705, 0.255821, 0.249738
4,6,0.844214, 1.44843, 0.267503, 0.250296
4,7,0.797898, 1.54183, 0.279293, 0.25066
4,8,0.787319, 1.56111, 0.281985, 0.250584
4,9,0.783397, 1.56235, 0.282848, 0.250128
4,10,0.762339, 1.58288, 0.286589, 0.248612
4,11,0.713968, 1.60586, 0.289816, 0.243382
5,0,0.498582, 0.897889, 0.175306, 0.155217
5,1,0.667196, 1.21293, 0.231067, 0.204068
5,2,0.749345, 1.42274, 0.264993, 0.233915
5,3,0.766042, 1.5407, 0.281121, 0.245976
5,4,0.739255, 1.64135, 0.294241, 0.24999
5,5,0.712576, 1.70891, 0.30256, 0.251212
5,6,0.67346, 1.79105, 0.312323, 0.251721
5,7,0.631741, 1.87545, 0.324666, 0.252152
5,8,0.617796, 1.90243, 0.328795, 0.252222
5,9,0.601376, 1.93199, 0.334982, 0.252202
5,10,0.581763, 1.96081, 0.340734, 0.251633
5,11,0.554078, 1.97587, 0.343866, 0.248844
