x, y, beta, gamma, rx, ry
0,0,0.61404, 0.0842494, 0.0632073, 0.105906
0,1,0.959625, 0.135726, 0.0929, 0.164715
0,2,1.22548, 0.171951, 0.116116, 0.207623
0,3,1.34339, 0.20707, 0.128586, 0.228444
0,4,1.38638, 0.247169, 0.135181, 0.238402
0,5,1.38851, 0.298096, 0.138495, 0.242373
0,6,1.37626, 0.334157, 0.140079, 0.243196
0,7,1.35488, 0.368976, 0.140718, 0.242611
0,8,1.33318, 0.375459, 0.139267, 0.239609
0,9,1.26343, 0.386428, 0.134915, 0.229606
0,10,1.09248, 0.387189, 0.124236, 0.203551
0,11,0.825215, 0.354241, 0.103951, 0.159876
1,0,0.651587, 0.101915, 0.0636548, 0.110133
1,1,1.01351, 0.162333, 0.0975793, 0.174467
1,2,1.27003, 0.205802, 0.122798, 0.217528
1,3,1.36691, 0.254446, 0.133932, 0.23551
1,4,1.39273, 0.297447, 0.13903, 0.243095
1,5,1.38634, 0.339082, 0.141472, 0.245161
1,6,1.37092, 0.376752, 0.143378, 0.245654
1,7,1.34336, 0.429071, 0.146022, 0.245462
1,8,1.32103, 0.455956, 0.147099, 0.243977
1,9,1.27378, 0.485459, 0.147458, 0.23916
1,10,1.14137, 0.519048, 0.144542, 0.221486
1,11,0.900813, 0.543046, 0.134904, 0.186406
2,0,0.642747, 0.174068, 0.0725754, 0.118993
2,1,0.987427, 0.280566, 0.112243, 0.177976
2,2,1.21214, 0.355048, 0.135228, 0.219962
2,3,1.30552, 0.415418, 0.147423, 0.238898
2,4,1.31975, 0.464689, 0.153234, 0.244813
2,5,1.30738, 0.509527, 0.156888, 0.246391
2,6,1.29135, 0.546262, 0.159436, 0.246778
2,7,1.25515, 0.617626, 0.165258, 0.246766
2,8,1.23018, 0.657162, 0.168241, 0.245982
2,9,1.1944, 0.686133, 0.170033, 0.242817
2,10,1.09237, 0.747202, 0.173414, 0.232043
2,11,0.898623, 0.813932, 0.173302, 0.206982
3,0,0.591677, 0.294123, 0.086631, 0.119383
3,1,0.908591, 0.452399, 0.131202, 0.17946
3,2,1.11503, 0.558348, 0.155936, 0.220981
3,3,1.20982, 0.612779, 0.166682, 0.239741
3,4,1.22445, 0.658492, 0.173238, 0.245532
3,5,1.20639, 0.713979, 0.178668, 0.247107
3,6,1.18895, 0.753425, 0.181822, 0.247492
3,7,1.14886, 0.833486, 0.189198, 0.247601
3,8,1.1173, 0.888305, 0.194907, 0.247104
3,9,1.08817, 0.919549, 0.19734, 0.245074
3,10,1.00133, 1.00528, 0.206783, 0.238643
3,11,0.846458, 1.10221, 0.215579, 0.223199
4,0,0.530019, 0.455768, 0.106749, 0.1194
4,1,0.808519, 0.659347, 0.154585, 0.182641
4,2,0.98703, 0.80949, 0.185946, 0.221255
4,3,1.0702, 0.879312, 0.198318, 0.239612
4,4,1.08895, 0.924367, 0.204367, 0.246051
4,5,1.07598, 0.973292, 0.209321, 0.24786
4,6,1.05508, 1.021, 0.21422, 0.248397
4,7,1.01473, 1.10253, 0.222424, 0.24866
4,8,0.97706, 1.17293, 0.230051, 0.248457
4,9,0.945426, 1.22054, 0.23529, 0.247435
4,10,0.870403, 1.3275, 0.249035, 0.244527
4,11,0.763964, 1.41775, 0.259449, 0.235955
5,0,0.412812, 0.73689, 0.146649, 0.129492
5,1,0.632182, 1.04359, 0.203817, 0.184722
5,2,0.76724, 1.26016, 0.242137, 0.22341
5,3,0.826669, 1.36677, 0.258972, 0.2412
5,4,0.839983, 1.41902, 0.265371, 0.247523
5,5,0.836861, 1.45081, 0.268237, 0.249479
5,6,0.827813, 1.47544, 0.270254, 0.250003
5,7,0.807775, 1.51707, 0.273876, 0.250204
5,8,0.786104, 1.55685, 0.277393, 0.250011
5,9,0.76557, 1.58715, 0.28062, 0.249298
5,10,0.715577, 1.66205, 0.290821, 0.247665
5,11,0.643608, 1.7253, 0.300155, 0.242151
6,0,0.309136, 1.01934, 0.184965, 0.133527
6,1,0.475003, 1.43221, 0.257114, 0.191481
6,2,0.572626, 1.69927, 0.301543, 0.229637
6,3,0.617918, 1.81516, 0.320016, 0.245658
6,4,0.630794, 1.85048, 0.323747, 0.250246
6,5,0.632692, 1.86362, 0.324559, 0.251602
6,6,0.632293, 1.86916, 0.324454, 0.251964
6,7,0.629826, 1.87527, 0.324357, 0.252052
6,8,0.6202, 1.89174, 0.325037, 0.251868
6,9,0.609826, 1.90474, 0.326026, 0.251324
6,10,0.584152, 1.93244, 0.330871, 0.249673
6,11,0.539354, 1.95629, 0.335149, 0.244986
7,0,0.253222, 1.28352, 0.227064, 0.146097
7,1,0.371969, 1.76022, 0.306977, 0.20415
7,2,0.437348, 2.04223, 0.354876, 0.236514
7,3,0.468679, 2.13962, 0.370775, 0.249134
7,4,0.478858, 2.16281, 0.373386, 0.252614
7,5,0.488167, 2.15608, 0.371484, 0.253477
7,6,0.491859, 2.1521, 0.370326, 0.253698
7,7,0.497232, 2.14171, 0.368051, 0.25366
7,8,0.504417, 2.1245, 0.363581, 0.253284
7,9,0.507348, 2.11222, 0.360504, 0.252672
7,10,0.489897, 2.12572, 0.363281, 0.251146
7,11,0.458246, 2.12039, 0.363448, 0.246128
8,0,0.206918, 1.42162, 0.250272, 0.151672
8,1,0.299453, 1.94942, 0.337603, 0.207762
8,2,0.345695, 2.25957, 0.390687, 0.240465
8,3,0.358427, 2.36526, 0.408426, 0.250914
8,4,0.367889, 2.38361, 0.411216, 0.253844
8,5,0.380762, 2.36981, 0.408127, 0.2547
8,6,0.389466, 2.35645, 0.405383, 0.25494
8,7,0.40064, 2.33462, 0.401273, 0.254836
8,8,0.420832, 2.29015, 0.392758, 0.25425
8,9,0.43152, 2.25983, 0.386982, 0.253385
8,10,0.427085, 2.24722, 0.384662, 0.251609
8,11,0.40382, 2.21351, 0.380213, 0.245312
9,0,0.191094, 1.46722, 0.25474, 0.154416
9,1,0.271699, 2.01115, 0.349672, 0.208637
9,2,0.308158, 2.33883, 0.405593, 0.241065
9,3,0.311752, 2.46337, 0.427761, 0.251894
9,4,0.319883, 2.48044, 0.430329, 0.25464
9,5,0.33086, 2.46908, 0.427897, 0.255368
9,6,0.33938, 2.45544, 0.425163, 0.255553
9,7,0.348175, 2.43815, 0.421812, 0.255495
9,8,0.363451, 2.402, 0.414875, 0.254851
9,9,0.378009, 2.36014, 0.406799, 0.253548
9,10,0.382151, 2.31867, 0.399094, 0.250776
9,11,0.366149, 2.2502, 0.38785, 0.243023
10,0,0.171944, 1.43084, 0.249606, 0.146375
10,1,0.241264, 1.98678, 0.346165, 0.20258
10,2,0.274271, 2.34701, 0.408791, 0.236616
10,3,0.282269, 2.5051, 0.436431, 0.250998
10,4,0.282768, 2.546, 0.443915, 0.254481
10,5,0.288535, 2.54812, 0.444063, 0.255543
10,6,0.293163, 2.54299, 0.44298, 0.255809
10,7,0.296111, 2.53712, 0.441866, 0.255794
10,8,0.302568, 2.51641, 0.437816, 0.255175
10,9,0.323379, 2.4554, 0.42572, 0.253178
10,10,0.333048, 2.38011, 0.411872, 0.248524
10,11,0.326002, 2.25048, 0.388889, 0.236426
11,0,0.137862, 1.284, 0.227943, 0.129932
11,1,0.1904, 1.84701, 0.323335, 0.184576
11,2,0.225226, 2.27842, 0.399344, 0.223361
11,3,0.234577, 2.52112, 0.441619, 0.24507
11,4,0.229335, 2.60869, 0.457785, 0.251635
11,5,0.23691, 2.62135, 0.459427, 0.253744
