x,y,r,g,b
0,0,0.00989382, 0.0679109, 0.0307025
0,1,0.00603888, 0.0815207, 0.0311313
0,2,0.0115498, 0.0953701, 0.0220388
0,3,0.0167339, 0.133504, 0.0185704
0,4,0.0256937, 0.12123, 0.015986
0,5,0.0222468, 0.0930712, 0.00212594
0,6,0.0267503, 0.078086, 0.00414517
0,7,0.0197377, 0.0463703, 0.0116077
0,8,0.0288683, 0.0366449, 0.0168188
0,9,0.0111722, 0.0301986, 0.00911474
1,0,0.0184008, 0.155055, 0.100347
1,1,0.0439825, 0.207994, 0.125779
1,2,0.0487776, 0.248386, 0.12928
1,3,0.0627739, 0.310156, 0.117698
1,4,0.0782933, 0.290869, 0.119239
1,5,0.0764379, 0.251535, 0.0866515
1,6,0.0811875, 0.215567, 0.074164
1,7,0.0792771, 0.150058, 0.0613115
1,8,0.048891, 0.105109, 0.0317988
1,9,0.0292536, 0.0604818, 0.0212379
2,0,0.0479545, 0.260794, 0.229457
2,1,0.0709372, 0.327499, 0.272446
2,2,0.094753, 0.382894, 0.280443
2,3,0.114728, 0.448416, 0.246795
2,4,0.14101, 0.429916, 0.238644
2,5,0.156935, 0.391896, 0.177095
2,6,0.163618, 0.350792, 0.136215
2,7,0.15331, 0.255969, 0.11927
2,8,0.113025, 0.187598, 0.0786794
2,9,0.0509464, 0.103747, 0.0398595
3,0,0.077034, 0.342337, 0.36382
3,1,0.109499, 0.426709, 0.433029
3,2,0.147567, 0.487215, 0.433115
3,3,0.191907, 0.539604, 0.376338
3,4,0.246926, 0.5607, 0.332113
3,5,0.274601, 0.552671, 0.24857
3,6,0.283084, 0.525462, 0.185279
3,7,0.263487, 0.419346, 0.163409
3,8,0.196729, 0.31172, 0.103834
3,9,0.109551, 0.177827, 0.0545582
4,0,0.103923, 0.378236, 0.516371
4,1,0.159097, 0.489072, 0.612357
4,2,0.193534, 0.532517, 0.595891
4,3,0.258847, 0.585727, 0.504558
4,4,0.365006, 0.646117, 0.413941
4,5,0.403879, 0.663786, 0.319143
4,6,0.408106, 0.642529, 0.24645
4,7,0.39189, 0.529216, 0.203608
4,8,0.299264, 0.406637, 0.140427
4,9,0.175366, 0.254587, 0.0626041
5,0,0.128291, 0.35431, 0.602939
5,1,0.192328, 0.447921, 0.6975
5,2,0.260185, 0.499717, 0.68716
5,3,0.35146, 0.571442, 0.596254
5,4,0.488193, 0.627925, 0.467862
5,5,0.555412, 0.655846, 0.366879
5,6,0.556341, 0.637462, 0.28875
5,7,0.52097, 0.563943, 0.247414
5,8,0.420297, 0.455636, 0.178507
5,9,0.260049, 0.301337, 0.0928617
6,0,0.163663, 0.302979, 0.669017
6,1,0.255267, 0.354911, 0.745228
6,2,0.38551, 0.417644, 0.747452
6,3,0.492411, 0.503551, 0.673152
6,4,0.632561, 0.565953, 0.533952
6,5,0.689553, 0.580142, 0.417964
6,6,0.670964, 0.582829, 0.307076
6,7,0.634392, 0.542206, 0.239572
6,8,0.51746, 0.432985, 0.170333
6,9,0.349649, 0.283203, 0.0864277
7,0,0.182842, 0.248385, 0.688636
7,1,0.300989, 0.29137, 0.757268
7,2,0.456591, 0.351579, 0.75942
7,3,0.568009, 0.445315, 0.709532
7,4,0.704471, 0.513543, 0.574127
7,5,0.749019, 0.520461, 0.456124
7,6,0.726033, 0.533598, 0.329778
7,7,0.69395, 0.502728, 0.225484
7,8,0.557252, 0.386197, 0.166244
7,9,0.373863, 0.262034, 0.0891047
8,0,0.212503, 0.159416, 0.605219
8,1,0.35315, 0.204518, 0.718452
8,2,0.517292, 0.259738, 0.739103
8,3,0.632893, 0.367039, 0.713654
8,4,0.75732, 0.440474, 0.590583
8,5,0.781509, 0.450775, 0.483614
8,6,0.744437, 0.46061, 0.346547
8,7,0.693662, 0.376069, 0.213196
8,8,0.552672, 0.304128, 0.14096
8,9,0.372128, 0.203078, 0.0680208
9,0,0.203497, 0.100455, 0.494909
9,1,0.363959, 0.155748, 0.616963
9,2,0.551622, 0.20734, 0.693019
9,3,0.630832, 0.334623, 0.695547
9,4,0.739976, 0.404729, 0.588203
9,5,0.754872, 0.417148, 0.481114
9,6,0.691165, 0.384322, 0.326948
9,7,0.62813, 0.311191, 0.198749
9,8,0.512971, 0.225801, 0.120671
9,9,0.350817, 0.150228, 0.0516953
