x,y,r,g,b
0,0,0.0335401, 0.144962, 0.163326
0,1,0.0476847, 0.230567, 0.181236
0,2,0.0576294, 0.3031, 0.183179
0,3,0.0635899, 0.357168, 0.181341
0,4,0.0715397, 0.359497, 0.157142
0,5,0.0635083, 0.309493, 0.121709
0,6,0.0476002, 0.224735, 0.0651683
0,7,0.0310412, 0.134782, 0.033088
0,8,0.0279922, 0.0658495, 0.0163084
0,9,0.0111722, 0.0301986, 0.00911474
1,0,0.0481887, 0.287882, 0.27962
1,1,0.0789109, 0.398739, 0.334514
1,2,0.0855823, 0.485414, 0.346542
1,3,0.0897467, 0.546771, 0.332992
1,4,0.113223, 0.561495, 0.297228
1,5,0.113525, 0.508542, 0.220383
1,6,0.111035, 0.399329, 0.121776
1,7,0.106796, 0.292965, 0.0738763
1,8,0.073858, 0.1903, 0.0276444
1,9,0.0563715, 0.110268, 0.0193418
2,0,0.0759926, 0.40923, 0.405417
2,1,0.103597, 0.527946, 0.471977
2,2,0.117625, 0.613075, 0.480617
2,3,0.126506, 0.654339, 0.440012
2,4,0.151281, 0.677181, 0.383318
2,5,0.167149, 0.640282, 0.277664
2,6,0.183555, 0.53458, 0.155038
2,7,0.189765, 0.423531, 0.109073
2,8,0.163069, 0.308627, 0.0608907
2,9,0.114534, 0.192931, 0.0328755
3,0,0.105019, 0.488038, 0.532679
3,1,0.137652, 0.615322, 0.607239
3,2,0.179542, 0.717438, 0.615199
3,3,0.228646, 0.739598, 0.542926
3,4,0.262535, 0.789273, 0.452588
3,5,0.311248, 0.779297, 0.334199
3,6,0.35708, 0.694282, 0.21966
3,7,0.367067, 0.605351, 0.173938
3,8,0.322719, 0.46928, 0.107112
3,9,0.240946, 0.306225, 0.059286
4,0,0.127043, 0.499911, 0.680718
4,1,0.166734, 0.624646, 0.751938
4,2,0.230187, 0.701256, 0.712279
4,3,0.315651, 0.73754, 0.619898
4,4,0.392368, 0.796833, 0.514437
4,5,0.468311, 0.808563, 0.394474
4,6,0.506511, 0.755154, 0.276759
4,7,0.508156, 0.698106, 0.211374
4,8,0.457915, 0.561439, 0.134382
4,9,0.346538, 0.392062, 0.0632786
5,0,0.199758, 0.371527, 0.75371
5,1,0.254205, 0.466338, 0.793816
5,2,0.335318, 0.54634, 0.761971
5,3,0.432048, 0.624123, 0.690312
5,4,0.538565, 0.731125, 0.592243
5,5,0.637004, 0.776784, 0.463101
5,6,0.660631, 0.740977, 0.3356
5,7,0.630591, 0.689623, 0.255801
5,8,0.587547, 0.586802, 0.161518
5,9,0.464456, 0.426152, 0.0966689
6,0,0.254444, 0.262874, 0.787603
6,1,0.339265, 0.328157, 0.806402
6,2,0.441909, 0.413734, 0.77964
6,3,0.541903, 0.510881, 0.721952
6,4,0.667826, 0.633114, 0.639651
6,5,0.764852, 0.694688, 0.523208
6,6,0.779227, 0.688234, 0.39153
6,7,0.743743, 0.63683, 0.289891
6,8,0.698543, 0.535254, 0.193057
6,9,0.569714, 0.394558, 0.116733
7,0,0.26571, 0.16591, 0.80144
7,1,0.380046, 0.231659, 0.81839
7,2,0.500659, 0.312481, 0.795031
7,3,0.604977, 0.419117, 0.745005
7,4,0.729177, 0.540922, 0.661161
7,5,0.819378, 0.594212, 0.530966
7,6,0.822761, 0.600952, 0.408698
7,7,0.806662, 0.568284, 0.294764
7,8,0.754341, 0.478146, 0.195083
7,9,0.608577, 0.353825, 0.130228
8,0,0.312138, 0.0981312, 0.742981
8,1,0.426596, 0.163897, 0.797626
8,2,0.55026, 0.238611, 0.787209
8,3,0.653213, 0.344676, 0.749049
8,4,0.774842, 0.444175, 0.67004
8,5,0.836382, 0.496505, 0.541955
8,6,0.841404, 0.509188, 0.421539
8,7,0.830087, 0.453647, 0.295755
8,8,0.773954, 0.373405, 0.194572
8,9,0.625439, 0.25675, 0.142512
9,0,0.299613, 0.0886743, 0.698351
9,1,0.445237, 0.16107, 0.754769
9,2,0.567215, 0.221489, 0.758145
9,3,0.650845, 0.316085, 0.729575
9,4,0.779077, 0.392547, 0.666593
9,5,0.824479, 0.435155, 0.542765
9,6,0.812177, 0.425681, 0.409064
9,7,0.799445, 0.35591, 0.289413
9,8,0.714762, 0.283588, 0.185878
9,9,0.565846, 0.196451, 0.118155
