x, y, beta, gamma, rx, ry
0,0,1.25191, 0.137315, 0.11677, 0.209053
0,1,1.3834, 0.170628, 0.129266, 0.232251
0,2,1.42498, 0.211443, 0.135269, 0.241579
0,3,1.41843, 0.270001, 0.138786, 0.244943
0,4,1.40129, 0.322071, 0.141038, 0.246231
0,5,1.37401, 0.383825, 0.143213, 0.246632
0,6,1.34838, 0.435918, 0.144926, 0.246587
0,7,1.32047, 0.489074, 0.147815, 0.246361
0,8,1.30392, 0.512313, 0.148665, 0.245547
0,9,1.2753, 0.531414, 0.148703, 0.24259
0,10,1.21035, 0.522626, 0.144351, 0.232017
0,11,1.03673, 0.488238, 0.130496, 0.202697
1,0,1.28426, 0.151497, 0.119388, 0.214447
1,1,1.40159, 0.202125, 0.132977, 0.237332
1,2,1.41625, 0.263785, 0.139241, 0.24428
1,3,1.39819, 0.329774, 0.143216, 0.246407
1,4,1.37106, 0.393709, 0.146786, 0.247115
1,5,1.32873, 0.481096, 0.151859, 0.247277
1,6,1.2928, 0.553371, 0.156177, 0.247284
1,7,1.25716, 0.62394, 0.161504, 0.247272
1,8,1.23713, 0.660682, 0.16439, 0.247038
1,9,1.21186, 0.697225, 0.167073, 0.246025
1,10,1.16988, 0.709218, 0.166976, 0.240585
1,11,1.04699, 0.702671, 0.160617, 0.221262
2,0,1.21225, 0.239083, 0.124116, 0.211309
2,1,1.34563, 0.303571, 0.140516, 0.23631
2,2,1.3627, 0.375565, 0.147745, 0.244676
2,3,1.3327, 0.464906, 0.154862, 0.246916
2,4,1.29866, 0.540661, 0.160703, 0.24753
2,5,1.25111, 0.637619, 0.16813, 0.247738
2,6,1.20579, 0.728513, 0.175495, 0.247852
2,7,1.16306, 0.813753, 0.182752, 0.247931
2,8,1.14217, 0.853448, 0.186841, 0.247876
2,9,1.11734, 0.894414, 0.190476, 0.247292
2,10,1.07437, 0.934679, 0.19464, 0.243966
2,11,0.981297, 0.963787, 0.195137, 0.23181
3,0,1.0859, 0.407712, 0.13812, 0.204822
3,1,1.22454, 0.498417, 0.158529, 0.233002
3,2,1.25088, 0.585133, 0.169327, 0.244102
3,3,1.22477, 0.679755, 0.17766, 0.247395
3,4,1.18394, 0.769988, 0.186582, 0.248217
3,5,1.12209, 0.895823, 0.19866, 0.248618
3,6,1.0667, 1.00705, 0.2095, 0.248875
3,7,1.01958, 1.10117, 0.219083, 0.249067
3,8,0.991599, 1.15568, 0.225276, 0.249128
3,9,0.963673, 1.2061, 0.230857, 0.248857
3,10,0.92818, 1.2523, 0.236574, 0.247132
3,11,0.865735, 1.28859, 0.24039, 0.240677
4,0,0.93277, 0.649105, 0.162424, 0.199162
4,1,1.06174, 0.787369, 0.189293, 0.231481
4,2,1.08716, 0.900923, 0.205116, 0.24414
4,3,1.06669, 0.99194, 0.214384, 0.24812
4,4,1.02486, 1.08761, 0.224384, 0.249252
4,5,0.958755, 1.22257, 0.238939, 0.249804
4,6,0.902325, 1.33603, 0.251371, 0.250161
4,7,0.846079, 1.44859, 0.264904, 0.250541
4,8,0.814564, 1.51097, 0.272807, 0.250734
4,9,0.785702, 1.56634, 0.280081, 0.250773
4,10,0.760817, 1.60658, 0.285913, 0.250212
4,11,0.729377, 1.63209, 0.288628, 0.247534
5,0,0.718695, 0.976803, 0.197708, 0.194658
5,1,0.840757, 1.18891, 0.233823, 0.229055
5,2,0.868328, 1.32839, 0.253732, 0.244598
5,3,0.855883, 1.41164, 0.263005, 0.249274
5,4,0.825585, 1.48559, 0.27126, 0.250506
5,5,0.778195, 1.58377, 0.282622, 0.251054
5,6,0.723653, 1.69357, 0.296916, 0.251543
5,7,0.666016, 1.80901, 0.313076, 0.25207
5,8,0.632145, 1.87646, 0.322554, 0.252373
5,9,0.601874, 1.93598, 0.332027, 0.252606
5,10,0.580499, 1.97441, 0.339652, 0.252544
5,11,0.564376, 1.98595, 0.342595, 0.251127
6,0,0.513679, 1.35861, 0.242595, 0.19243
6,1,0.625674, 1.62955, 0.287542, 0.231194
6,2,0.659877, 1.75815, 0.30621, 0.247231
6,3,0.663978, 1.80232, 0.311093, 0.251236
6,4,0.649379, 1.83979, 0.316246, 0.251987
6,5,0.622123, 1.89624, 0.325817, 0.252492
6,6,0.578825, 1.98337, 0.339586, 0.253004
6,7,0.532341, 2.07651, 0.354393, 0.253512
6,8,0.497563, 2.14588, 0.366701, 0.253941
6,9,0.470015, 2.20045, 0.376827, 0.254273
6,10,0.448277, 2.24191, 0.384456, 0.254402
6,11,0.433601, 2.2592, 0.388734, 0.25363
7,0,0.39511, 1.64009, 0.281934, 0.196818
7,1,0.486651, 1.94782, 0.331623, 0.236253
7,2,0.52272, 2.05356, 0.347676, 0.25011
7,3,0.523716, 2.08611, 0.353032, 0.252872
7,4,0.51084, 2.11762, 0.35912, 0.253516
7,5,0.486766, 2.16729, 0.368577, 0.253993
7,6,0.457533, 2.22613, 0.379815, 0.254427
7,7,0.426943, 2.28741, 0.39199, 0.254855
7,8,0.395575, 2.35006, 0.404071, 0.255284
7,9,0.374723, 2.39153, 0.412242, 0.255581
7,10,0.35991, 2.41995, 0.418075, 0.255691
7,11,0.347144, 2.43847, 0.422101, 0.255305
8,0,0.35048, 1.73934, 0.298443, 0.198851
8,1,0.438457, 2.05709, 0.349464, 0.237564
8,2,0.465449, 2.1638, 0.367089, 0.250476
8,3,0.466345, 2.19928, 0.373146, 0.2535
8,4,0.452508, 2.23388, 0.380175, 0.25427
8,5,0.428847, 2.28294, 0.390118, 0.25477
8,6,0.400076, 2.34099, 0.401824, 0.255227
8,7,0.369467, 2.40235, 0.414252, 0.255674
8,8,0.345097, 2.45103, 0.424007, 0.256024
8,9,0.326491, 2.48803, 0.4314, 0.256254
8,10,0.316252, 2.50748, 0.435362, 0.256318
8,11,0.30751, 2.5195, 0.437887, 0.256014
9,0,0.317477, 1.74644, 0.298846, 0.195341
9,1,0.391678, 2.10202, 0.359651, 0.23421
9,2,0.42031, 2.24076, 0.382669, 0.249935
9,3,0.42013, 2.28817, 0.391195, 0.25385
9,4,0.406269, 2.32524, 0.398553, 0.254835
9,5,0.379753, 2.38068, 0.409816, 0.255435
9,6,0.348359, 2.44421, 0.422686, 0.255962
9,7,0.316595, 2.50801, 0.435529, 0.25646
9,8,0.295621, 2.54985, 0.443998, 0.256747
9,9,0.283272, 2.57425, 0.448841, 0.256872
9,10,0.276934, 2.58584, 0.451114, 0.256836
9,11,0.273655, 2.58609, 0.451284, 0.256408
10,0,0.274888, 1.68808, 0.290698, 0.182889
10,1,0.337526, 2.11003, 0.363356, 0.226997
10,2,0.358999, 2.32362, 0.400291, 0.247511
10,3,0.359246, 2.39784, 0.413406, 0.253747
10,4,0.340989, 2.45137, 0.423929, 0.255397
10,5,0.311437, 2.51544, 0.436838, 0.256248
10,6,0.284279, 2.57143, 0.44821, 0.256797
10,7,0.253953, 2.63276, 0.460712, 0.257368
10,8,0.239637, 2.66119, 0.466518, 0.257516
10,9,0.23447, 2.6709, 0.468397, 0.257523
10,10,0.237552, 2.6625, 0.466705, 0.257261
10,11,0.237662, 2.65124, 0.464682, 0.256341
11,0,0.206377, 1.51523, 0.265219, 0.159005
11,1,0.261275, 2.01289, 0.349386, 0.208365
11,2,0.292333, 2.32155, 0.403294, 0.237167
11,3,0.292646, 2.48279, 0.431722, 0.250695
11,4,0.27861, 2.55628, 0.445701, 0.254662
11,5,0.256628, 2.61633, 0.45752, 0.256264
11,6,0.24292, 2.6493, 0.464099, 0.256937
11,7,0.225631, 2.68614, 0.471623, 0.257422
