x,y,r,g,b
0,0,0.0418728, 0.180977, 0.121172
0,1,0.0545871, 0.263942, 0.159267
0,2,0.0626644, 0.329582, 0.17009
0,3,0.0670112, 0.376384, 0.173182
0,4,0.0715397, 0.359497, 0.157142
0,5,0.0635083, 0.309493, 0.121709
0,6,0.0476002, 0.224735, 0.0651683
0,7,0.0310412, 0.134782, 0.033088
0,8,0.0279922, 0.0658495, 0.0163084
0,9,0.0111722, 0.0301986, 0.00911474
1,0,0.0551641, 0.329554, 0.271893
1,1,0.0881484, 0.445416, 0.334692
1,2,0.0922413, 0.523183, 0.347596
1,3,0.0942156, 0.573997, 0.332992
1,4,0.113223, 0.561495, 0.297228
1,5,0.113525, 0.508542, 0.220383
1,6,0.111035, 0.399329, 0.121776
1,7,0.106796, 0.292965, 0.0738763
1,8,0.073858, 0.1903, 0.0276444
1,9,0.0563715, 0.110268, 0.0193418
2,0,0.0826319, 0.444984, 0.411744
2,1,0.111658, 0.569024, 0.48279
2,2,0.124496, 0.648884, 0.48924
2,3,0.131612, 0.680749, 0.444331
2,4,0.151281, 0.677181, 0.383318
2,5,0.167149, 0.640282, 0.277664
2,6,0.183555, 0.53458, 0.155038
2,7,0.189765, 0.423531, 0.109073
2,8,0.163069, 0.308627, 0.0608907
2,9,0.114534, 0.192931, 0.0328755
3,0,0.110669, 0.514295, 0.543422
3,1,0.144506, 0.645961, 0.620895
3,2,0.186789, 0.746395, 0.626589
3,3,0.235489, 0.761734, 0.549209
3,4,0.262535, 0.789273, 0.452588
3,5,0.311248, 0.779297, 0.334199
3,6,0.35708, 0.694282, 0.21966
3,7,0.367067, 0.605351, 0.173938
3,8,0.322719, 0.46928, 0.107112
3,9,0.240946, 0.306225, 0.059286
4,0,0.127043, 0.499911, 0.680718
4,1,0.151791, 0.623408, 0.75451
4,2,0.212598, 0.702679, 0.714146
4,3,0.298205, 0.741102, 0.617602
4,4,0.377646, 0.803872, 0.506283
4,5,0.458467, 0.815662, 0.380953
4,6,0.500074, 0.758753, 0.261049
4,7,0.503431, 0.699067, 0.197766
4,8,0.457915, 0.561439, 0.134382
4,9,0.346538, 0.392062, 0.0632786
5,0,0.185597, 0.411012, 0.745557
5,1,0.227444, 0.506983, 0.794299
5,2,0.314437, 0.58906, 0.759687
5,3,0.419625, 0.665256, 0.680235
5,4,0.533251, 0.758869, 0.573431
5,5,0.634748, 0.785403, 0.447313
5,6,0.660317, 0.745356, 0.316301
5,7,0.629162, 0.690577, 0.239245
5,8,0.587547, 0.586802, 0.161518
5,9,0.464456, 0.426152, 0.0966689
6,0,0.226498, 0.305622, 0.784607
6,1,0.280851, 0.363868, 0.819735
6,2,0.396623, 0.457537, 0.791177
6,3,0.512553, 0.563665, 0.721902
6,4,0.663207, 0.689002, 0.617844
6,5,0.77002, 0.733343, 0.491792
6,6,0.783322, 0.716294, 0.349022
6,7,0.74009, 0.644428, 0.259345
6,8,0.698543, 0.535254, 0.193057
6,9,0.569714, 0.394558, 0.116733
7,0,0.226292, 0.203536, 0.801562
7,1,0.317331, 0.251618, 0.838277
7,2,0.463579, 0.333208, 0.816687
7,3,0.587832, 0.448725, 0.758731
7,4,0.74908, 0.574512, 0.641985
7,5,0.840384, 0.622161, 0.48966
7,6,0.834245, 0.623034, 0.357924
7,7,0.806772, 0.572311, 0.259001
7,8,0.754341, 0.478146, 0.195083
7,9,0.608577, 0.353825, 0.130228
8,0,0.278003, 0.12353, 0.721319
8,1,0.378804, 0.163965, 0.794739
8,2,0.528303, 0.22728, 0.809373
8,3,0.648977, 0.350789, 0.771278
8,4,0.801023, 0.464269, 0.654317
8,5,0.856168, 0.509357, 0.499169
8,6,0.853998, 0.519937, 0.367875
8,7,0.830253, 0.448554, 0.257965
8,8,0.773954, 0.373405, 0.194572
8,9,0.625439, 0.25675, 0.142512
9,0,0.265099, 0.0965837, 0.66497
9,1,0.399378, 0.14562, 0.747478
9,2,0.542204, 0.198581, 0.770146
9,3,0.628829, 0.313741, 0.749603
9,4,0.780205, 0.408596, 0.650385
9,5,0.830416, 0.440392, 0.500666
9,6,0.81419, 0.424254, 0.354388
9,7,0.794385, 0.343953, 0.253135
9,8,0.714762, 0.283588, 0.185878
9,9,0.565846, 0.196451, 0.118155
