x,y,r,g,b
0,0,0.0108408, 0.0278405, 0.0336413
0,1,0.00691515, 0.023334, 0.0356486
0,2,0.0139626, 0.0159233, 0.026643
0,3,0.00854385, 0.0286053, 0.023937
0,4,0.0154691, 0.0195451, 0.0201368
0,5,0.00712, 0.00272, 0.00256
0,6,0.0106355, 0.00313835, 0.0047947
0,7,0.00357933, 0.0144091, 0.0122064
0,8,0.0161038, 0.0102306, 0.0175247
0,9,0.0011, 0.0103, 0.0094
1,0,0.00241276, 0.0690053, 0.0599387
1,1,0.0328273, 0.105095, 0.0908197
1,2,0.0438089, 0.129019, 0.108401
1,3,0.0436369, 0.14147, 0.109415
1,4,0.054939, 0.133401, 0.112154
1,5,0.0489902, 0.121759, 0.0955834
1,6,0.0481322, 0.0888128, 0.0741249
1,7,0.0448577, 0.0628906, 0.0524524
1,8,0.0191074, 0.0323336, 0.0211561
1,9,0.0066, 0.0049, 0.0124
2,0,0.0103085, 0.141254, 0.138834
2,1,0.0371463, 0.197412, 0.192153
2,2,0.080169, 0.256968, 0.234942
2,3,0.0985991, 0.283527, 0.248728
2,4,0.124241, 0.284938, 0.246742
2,5,0.141385, 0.271374, 0.220595
2,6,0.13465, 0.212713, 0.155878
2,7,0.11577, 0.143684, 0.117563
2,8,0.0811055, 0.0980896, 0.0700065
2,9,0.0239492, 0.0359539, 0.0296986
3,0,0.028875, 0.199642, 0.228351
3,1,0.0663699, 0.283105, 0.313575
3,2,0.138437, 0.384523, 0.364217
3,3,0.199543, 0.440094, 0.36832
3,4,0.250028, 0.449386, 0.356692
3,5,0.273931, 0.449006, 0.317388
3,6,0.260815, 0.372522, 0.230848
3,7,0.218027, 0.271141, 0.160997
3,8,0.145828, 0.182441, 0.0833098
3,9,0.0598403, 0.0694586, 0.0312337
4,0,0.0580078, 0.219248, 0.343395
4,1,0.118169, 0.310851, 0.441861
4,2,0.200623, 0.449237, 0.510594
4,3,0.286426, 0.51923, 0.490323
4,4,0.366736, 0.549738, 0.471712
4,5,0.398369, 0.571254, 0.42517
4,6,0.381325, 0.471283, 0.304526
4,7,0.316769, 0.338788, 0.211562
4,8,0.196335, 0.220803, 0.120244
4,9,0.0673891, 0.0876685, 0.0277797
5,0,0.107864, 0.19941, 0.432671
5,1,0.189216, 0.297011, 0.548156
5,2,0.298999, 0.418496, 0.600463
5,3,0.38547, 0.486645, 0.560251
5,4,0.454699, 0.515219, 0.51524
5,5,0.514693, 0.557863, 0.454664
5,6,0.483647, 0.489719, 0.333592
5,7,0.385506, 0.363923, 0.254044
5,8,0.245908, 0.244985, 0.143322
5,9,0.0748333, 0.103218, 0.0342421
6,0,0.122551, 0.170877, 0.47753
6,1,0.21218, 0.238089, 0.596712
6,2,0.353477, 0.341779, 0.623182
6,3,0.445313, 0.424103, 0.575133
6,4,0.520726, 0.468897, 0.524236
6,5,0.572209, 0.516472, 0.442516
6,6,0.529611, 0.487565, 0.323005
6,7,0.418746, 0.36048, 0.247193
6,8,0.253084, 0.241209, 0.132252
6,9,0.0846713, 0.089166, 0.0256539
7,0,0.143267, 0.126575, 0.493526
7,1,0.25104, 0.18254, 0.618146
7,2,0.409088, 0.264335, 0.63465
7,3,0.502974, 0.344266, 0.586243
7,4,0.576688, 0.38784, 0.542255
7,5,0.603029, 0.406518, 0.453276
7,6,0.537286, 0.3944, 0.342142
7,7,0.41304, 0.306056, 0.236962
7,8,0.245275, 0.198914, 0.130702
7,9,0.0707369, 0.0922526, 0.0340953
8,0,0.150258, 0.0738434, 0.442601
8,1,0.265196, 0.1136, 0.5734
8,2,0.414208, 0.161276, 0.590438
8,3,0.522453, 0.240951, 0.553
8,4,0.603865, 0.272792, 0.520672
8,5,0.610931, 0.267, 0.443098
8,6,0.513615, 0.272322, 0.313138
8,7,0.374934, 0.216185, 0.201802
8,8,0.211673, 0.149657, 0.0959795
8,9,0.0511462, 0.0670556, 0.0176108
9,0,0.12143, 0.0419973, 0.350608
9,1,0.23157, 0.0797391, 0.444682
9,2,0.363585, 0.114344, 0.482267
9,3,0.441806, 0.158576, 0.4653
9,4,0.500109, 0.177082, 0.439093
9,5,0.489289, 0.179159, 0.348549
9,6,0.403306, 0.163218, 0.248814
9,7,0.284357, 0.120787, 0.144634
9,8,0.148492, 0.0728984, 0.0699824
9,9,0.0393133, 0.0411768, 0.00543006
