x, y, beta, gamma, rx, ry
0,0,0.61404, 0.0842494, 0.0632073, 0.105906
0,1,0.959625, 0.135726, 0.0929, 0.164715
0,2,1.22548, 0.171951, 0.116116, 0.207623
0,3,1.34339, 0.20707, 0.128586, 0.228444
0,4,1.38638, 0.247169, 0.135181, 0.238402
0,5,1.38851, 0.298096, 0.138495, 0.242373
0,6,1.37626, 0.334157, 0.140079, 0.243196
0,7,1.35488, 0.368976, 0.140718, 0.242611
0,8,1.33318, 0.375459, 0.139267, 0.239609
0,9,1.26343, 0.386428, 0.134915, 0.229606
0,10,1.09248, 0.387189, 0.124236, 0.203551
0,11,0.825215, 0.354241, 0.103951, 0.159876
1,0,0.651587, 0.101915, 0.0636548, 0.110133
1,1,1.01351, 0.162333, 0.0975793, 0.174467
1,2,1.27003, 0.205802, 0.122798, 0.217528
1,3,1.36691, 0.254446, 0.133932, 0.23551
1,4,1.39273, 0.297447, 0.13903, 0.243095
1,5,1.37626, 0.359695, 0.143556, 0.245238
1,6,1.35766, 0.403741, 0.146146, 0.245749
1,7,1.32724, 0.461989, 0.14947, 0.245587
1,8,1.30283, 0.493694, 0.151105, 0.24417
1,9,1.25606, 0.524406, 0.151682, 0.23952
1,10,1.12868, 0.55485, 0.148626, 0.222368
1,11,0.896281, 0.572979, 0.138642, 0.188078
2,0,0.642747, 0.174068, 0.0725754, 0.118993
2,1,0.987427, 0.280566, 0.112243, 0.177976
2,2,1.21214, 0.355048, 0.135228, 0.219962
2,3,1.30552, 0.415418, 0.147423, 0.238898
2,4,1.31975, 0.464689, 0.153234, 0.244813
2,5,1.29543, 0.533778, 0.159378, 0.246471
2,6,1.27497, 0.579384, 0.162872, 0.246879
2,7,1.23469, 0.659074, 0.169619, 0.246902
2,8,1.20635, 0.705963, 0.173432, 0.246185
2,9,1.17057, 0.737181, 0.175528, 0.243196
2,10,1.07508, 0.791731, 0.178359, 0.232906
2,11,0.891994, 0.847764, 0.177351, 0.20866
3,0,0.591677, 0.294123, 0.086631, 0.119383
3,1,0.908591, 0.452399, 0.131202, 0.17946
3,2,1.11503, 0.558348, 0.155936, 0.220981
3,3,1.19903, 0.636016, 0.169609, 0.239954
3,4,1.20962, 0.688849, 0.177045, 0.245699
3,5,1.17582, 0.775883, 0.185888, 0.247357
3,6,1.15063, 0.830764, 0.19083, 0.247784
3,7,1.10549, 0.921104, 0.199396, 0.247938
3,8,1.07126, 0.982255, 0.2057, 0.247524
3,9,1.0447, 1.01125, 0.207831, 0.245703
3,10,0.97176, 1.07662, 0.214911, 0.239773
3,11,0.834784, 1.14968, 0.221132, 0.225135
4,0,0.530019, 0.455768, 0.106749, 0.1194
4,1,0.808519, 0.659347, 0.154585, 0.182641
4,2,0.98703, 0.80949, 0.185946, 0.221255
4,3,1.05855, 0.905118, 0.201608, 0.239901
4,4,1.07199, 0.959438, 0.208829, 0.246271
4,5,1.04357, 1.03923, 0.217102, 0.248154
4,6,1.0142, 1.1037, 0.223904, 0.248729
4,7,0.969052, 1.19502, 0.233127, 0.249023
4,8,0.92979, 1.2696, 0.24087, 0.248881
4,9,0.90189, 1.31244, 0.245198, 0.248017
4,10,0.845274, 1.38733, 0.255113, 0.245374
4,11,0.756069, 1.45142, 0.262767, 0.23733
5,0,0.412812, 0.73689, 0.146649, 0.129492
5,1,0.632182, 1.04359, 0.203817, 0.184722
5,2,0.76724, 1.26016, 0.242137, 0.22341
5,3,0.818249, 1.38678, 0.261564, 0.241526
5,4,0.826994, 1.44665, 0.268962, 0.24776
5,5,0.815212, 1.49556, 0.273476, 0.249732
5,6,0.794024, 1.5444, 0.278673, 0.250347
5,7,0.770449, 1.59325, 0.283096, 0.250571
5,8,0.750794, 1.6301, 0.285826, 0.250411
5,9,0.735614, 1.65325, 0.287085, 0.249854
5,10,0.700313, 1.70164, 0.294779, 0.248417
5,11,0.639888, 1.74975, 0.302631, 0.243445
6,0,0.309136, 1.01934, 0.184965, 0.133527
6,1,0.475003, 1.43221, 0.257114, 0.191481
6,2,0.572626, 1.69927, 0.301543, 0.229637
6,3,0.614459, 1.82485, 0.321179, 0.245902
6,4,0.624836, 1.8638, 0.325369, 0.250406
6,5,0.626192, 1.87788, 0.325634, 0.25171
6,6,0.614637, 1.90584, 0.328786, 0.252189
6,7,0.609113, 1.91821, 0.329434, 0.252299
6,8,0.604222, 1.92604, 0.328932, 0.252121
6,9,0.599748, 1.9292, 0.328525, 0.251666
6,10,0.578648, 1.9523, 0.332909, 0.250364
6,11,0.539171, 1.97472, 0.337335, 0.246375
7,0,0.253222, 1.28352, 0.227064, 0.146097
7,1,0.371969, 1.76022, 0.306977, 0.20415
7,2,0.437348, 2.04223, 0.354876, 0.236514
7,3,0.469863, 2.13934, 0.370359, 0.24928
7,4,0.480202, 2.1612, 0.372597, 0.252665
7,5,0.495303, 2.14276, 0.368136, 0.253411
7,6,0.49618, 2.14459, 0.367466, 0.253665
7,7,0.501249, 2.13524, 0.364762, 0.253633
7,8,0.507089, 2.12131, 0.361604, 0.253348
7,9,0.508408, 2.11379, 0.35979, 0.252902
7,10,0.4923, 2.12925, 0.363023, 0.251752
7,11,0.464031, 2.12891, 0.364086, 0.247631
8,0,0.206918, 1.42162, 0.250272, 0.151672
8,1,0.299453, 1.94942, 0.337603, 0.207762
8,2,0.345695, 2.25957, 0.390687, 0.240465
8,3,0.362929, 2.35808, 0.406877, 0.250997
8,4,0.3744, 2.37163, 0.408689, 0.253834
8,5,0.39638, 2.33951, 0.402008, 0.254537
8,6,0.40876, 2.31896, 0.39766, 0.254734
8,7,0.421532, 2.29413, 0.392823, 0.254617
8,8,0.435695, 2.26287, 0.386851, 0.254206
8,9,0.440004, 2.24787, 0.384029, 0.253642
8,10,0.432954, 2.24636, 0.383832, 0.252411
8,11,0.412894, 2.22257, 0.380961, 0.247423
9,0,0.191094, 1.46722, 0.25474, 0.154416
9,1,0.271699, 2.01115, 0.349672, 0.208637
9,2,0.308158, 2.33883, 0.405593, 0.241065
9,3,0.316817, 2.45467, 0.425932, 0.251939
9,4,0.327071, 2.46689, 0.42752, 0.2546
9,5,0.346219, 2.43911, 0.421864, 0.255198
9,6,0.359859, 2.41556, 0.41698, 0.255338
9,7,0.370655, 2.39452, 0.412786, 0.255265
9,8,0.383149, 2.36553, 0.407123, 0.254787
9,9,0.391933, 2.33952, 0.40197, 0.253939
9,10,0.392506, 2.31833, 0.397875, 0.252297
9,11,0.378312, 2.26696, 0.389752, 0.246153
10,0,0.171944, 1.43084, 0.249606, 0.146375
10,1,0.241264, 1.98678, 0.346165, 0.20258
10,2,0.274271, 2.34701, 0.408791, 0.236616
10,3,0.286864, 2.49739, 0.434813, 0.251053
10,4,0.289231, 2.53394, 0.441417, 0.254456
10,5,0.29694, 2.53194, 0.440722, 0.255468
10,6,0.307355, 2.51591, 0.437258, 0.255713
10,7,0.312793, 2.50549, 0.43512, 0.255698
10,8,0.320377, 2.48453, 0.430865, 0.255212
10,9,0.338065, 2.4358, 0.421006, 0.253786
10,10,0.344499, 2.38776, 0.411994, 0.250877
10,11,0.337315, 2.28381, 0.39383, 0.240952
11,0,0.137862, 1.284, 0.227943, 0.129932
11,1,0.1904, 1.84701, 0.323335, 0.184576
11,2,0.225226, 2.27842, 0.399344, 0.223361
11,3,0.238718, 2.51516, 0.440338, 0.245201
11,4,0.235021, 2.59885, 0.455727, 0.251676
11,5,0.243936, 2.60851, 0.456769, 0.253741
