x, y, beta, gamma, rx, ry
0,0,0.203092, 0.0383492, 0.0277489, 0.0385653
0,1,0.536102, 0.10355, 0.0565928, 0.0974362
0,2,0.858211, 0.164971, 0.0850257, 0.150105
0,3,1.10018, 0.223669, 0.109311, 0.191654
0,4,1.2582, 0.271387, 0.126331, 0.220515
0,5,1.33281, 0.299335, 0.133535, 0.233676
0,6,1.33693, 0.321385, 0.13597, 0.23601
0,7,1.30505, 0.349138, 0.135886, 0.233477
0,8,1.24966, 0.372122, 0.133125, 0.226318
0,9,1.11848, 0.380817, 0.124357, 0.206685
0,10,0.889546, 0.369751, 0.109605, 0.171039
0,11,0.602951, 0.330956, 0.0875368, 0.12391
1,0,0.236496, 0.0516025, 0.0256916, 0.040322
1,1,0.609393, 0.128761, 0.0614136, 0.109626
1,2,0.949626, 0.203798, 0.0968275, 0.168349
1,3,1.18807, 0.26988, 0.12032, 0.208252
1,4,1.32299, 0.315579, 0.134243, 0.233686
1,5,1.35291, 0.34912, 0.139187, 0.240629
1,6,1.34424, 0.386376, 0.142813, 0.242242
1,7,1.31965, 0.420631, 0.144346, 0.241249
1,8,1.27965, 0.456216, 0.145338, 0.237541
1,9,1.19144, 0.49589, 0.144419, 0.227506
1,10,0.994292, 0.532164, 0.138071, 0.200026
1,11,0.713378, 0.545651, 0.124853, 0.157842
2,0,0.262283, 0.1183, 0.0371646, 0.0564069
2,1,0.638478, 0.243135, 0.0822124, 0.119935
2,2,0.963297, 0.337413, 0.113648, 0.180245
2,3,1.17555, 0.407252, 0.136468, 0.218184
2,4,1.27901, 0.453281, 0.147409, 0.23741
2,5,1.29751, 0.490803, 0.151316, 0.243203
2,6,1.28731, 0.526841, 0.155325, 0.244575
2,7,1.26526, 0.568385, 0.159212, 0.244396
2,8,1.2328, 0.612041, 0.162281, 0.242738
2,9,1.16015, 0.674693, 0.166568, 0.236636
2,10,1.00034, 0.75851, 0.170095, 0.218797
2,11,0.759069, 0.824644, 0.167392, 0.18604
3,0,0.268733, 0.231704, 0.055148, 0.0645459
3,1,0.62255, 0.418342, 0.107446, 0.131634
3,2,0.909886, 0.559527, 0.141912, 0.18944
3,3,1.0941, 0.632574, 0.162512, 0.223584
3,4,1.18964, 0.658832, 0.169516, 0.240054
3,5,1.20643, 0.682036, 0.172095, 0.244426
3,6,1.19228, 0.72266, 0.177543, 0.245576
3,7,1.17003, 0.768336, 0.182556, 0.245698
3,8,1.14303, 0.809337, 0.186124, 0.244743
3,9,1.07843, 0.891731, 0.193442, 0.241289
3,10,0.946807, 1.00952, 0.205996, 0.230551
3,11,0.747505, 1.11441, 0.214338, 0.209213
4,0,0.27065, 0.419051, 0.0841998, 0.0753004
4,1,0.574707, 0.657447, 0.139842, 0.146835
4,2,0.81158, 0.837387, 0.180337, 0.196397
4,3,0.960896, 0.928027, 0.200305, 0.226756
4,4,1.04618, 0.943324, 0.20523, 0.241077
4,5,1.06918, 0.955139, 0.206469, 0.24538
4,6,1.05929, 0.991574, 0.210632, 0.246688
4,7,1.04145, 1.03099, 0.214982, 0.247084
4,8,1.02017, 1.06628, 0.218061, 0.24652
4,9,0.958639, 1.16275, 0.228628, 0.244812
4,10,0.844388, 1.31602, 0.248446, 0.239577
4,11,0.696796, 1.42503, 0.260864, 0.226541
5,0,0.259087, 0.633615, 0.12213, 0.0980673
5,1,0.495029, 0.968325, 0.184999, 0.157172
5,2,0.662223, 1.2196, 0.231364, 0.20378
5,3,0.763126, 1.35048, 0.254848, 0.230024
5,4,0.822262, 1.38771, 0.261515, 0.242428
