x,y,r,g,b
0,0,0.0598812, 0.20528, 0.218959
0,1,0.0774934, 0.270281, 0.233674
0,2,0.0763825, 0.323001, 0.215964
0,3,0.0690031, 0.37416, 0.190569
0,4,0.0676461, 0.379212, 0.148207
0,5,0.0555035, 0.349056, 0.0878224
0,6,0.047799, 0.279175, 0.0477535
0,7,0.0389978, 0.201783, 0.0247327
0,8,0.0378056, 0.133063, 0.0121207
0,9,0.0239888, 0.0783501, 0.0066848
1,0,0.0696446, 0.321167, 0.333078
1,1,0.116538, 0.402341, 0.373462
1,2,0.110472, 0.483637, 0.365533
1,3,0.104124, 0.546658, 0.33053
1,4,0.130549, 0.587407, 0.270815
1,5,0.132226, 0.565168, 0.182807
1,6,0.130477, 0.486399, 0.106998
1,7,0.13299, 0.404967, 0.0720669
1,8,0.107676, 0.297768, 0.0275033
1,9,0.0858205, 0.18914, 0.0143534
2,0,0.0968242, 0.433115, 0.468338
2,1,0.129145, 0.525719, 0.52311
2,2,0.146912, 0.603501, 0.516386
2,3,0.165289, 0.663136, 0.465695
2,4,0.201722, 0.718572, 0.394647
2,5,0.216172, 0.710118, 0.282208
2,6,0.211514, 0.63905, 0.162723
2,7,0.22467, 0.54805, 0.10662
2,8,0.2075, 0.440673, 0.0595289
2,9,0.162186, 0.305426, 0.0322244
3,0,0.10952, 0.494448, 0.576749
3,1,0.140609, 0.597745, 0.636343
3,2,0.186008, 0.686137, 0.627274
3,3,0.235102, 0.738126, 0.55787
3,4,0.292599, 0.811883, 0.465808
3,5,0.329184, 0.816173, 0.345658
3,6,0.349285, 0.754489, 0.229457
3,7,0.362534, 0.685132, 0.155553
3,8,0.339543, 0.583449, 0.0934347
3,9,0.283513, 0.425156, 0.0617481
4,0,0.13356, 0.506137, 0.695021
4,1,0.184905, 0.619285, 0.751811
4,2,0.246839, 0.706348, 0.737449
4,3,0.313295, 0.768701, 0.66474
4,4,0.388169, 0.847442, 0.564087
4,5,0.437757, 0.861644, 0.43091
4,6,0.474828, 0.826096, 0.311341
4,7,0.488087, 0.784264, 0.193396
4,8,0.459293, 0.667587, 0.131393
4,9,0.381549, 0.505761, 0.0742698
5,0,0.198648, 0.44439, 0.776211
5,1,0.270375, 0.557459, 0.822856
5,2,0.35259, 0.665148, 0.822376
5,3,0.415123, 0.756299, 0.767771
5,4,0.503716, 0.82092, 0.654018
5,5,0.562996, 0.841197, 0.521337
5,6,0.595303, 0.817881, 0.389005
5,7,0.594007, 0.761114, 0.269231
5,8,0.571672, 0.670713, 0.176884
5,9,0.486276, 0.514572, 0.101975
6,0,0.253603, 0.360207, 0.806585
6,1,0.34578, 0.466444, 0.837465
6,2,0.448677, 0.578128, 0.830538
6,3,0.523253, 0.665956, 0.794048
6,4,0.618544, 0.745191, 0.713598
6,5,0.676737, 0.76359, 0.594845
6,6,0.695922, 0.720483, 0.448327
6,7,0.694829, 0.657201, 0.31546
6,8,0.67535, 0.566508, 0.217021
6,9,0.589762, 0.440169, 0.124188
7,0,0.278805, 0.254441, 0.821929
7,1,0.402228, 0.36924, 0.849918
7,2,0.528569, 0.490924, 0.842731
7,3,0.611288, 0.5967, 0.823544
7,4,0.702544, 0.677271, 0.748702
7,5,0.753194, 0.69413, 0.646113
7,6,0.756702, 0.644578, 0.49138
7,7,0.758868, 0.578732, 0.339128
7,8,0.726798, 0.486266, 0.225175
7,9,0.62931, 0.373207, 0.132169
8,0,0.32979, 0.17084, 0.771399
8,1,0.460444, 0.274153, 0.836664
8,2,0.604787, 0.38648, 0.845374
8,3,0.696031, 0.49932, 0.825312
8,4,0.791198, 0.585117, 0.788186
8,5,0.826115, 0.611224, 0.694531
8,6,0.809817, 0.540255, 0.51355
8,7,0.799786, 0.451721, 0.342285
8,8,0.745744, 0.366179, 0.220402
8,9,0.642693, 0.270378, 0.129613
9,0,0.313827, 0.111072, 0.710015
9,1,0.482237, 0.211564, 0.779193
9,2,0.638974, 0.306884, 0.797642
9,3,0.727676, 0.401429, 0.789299
9,4,0.832601, 0.470771, 0.750734
9,5,0.861293, 0.473756, 0.657815
9,6,0.818428, 0.437588, 0.488034
9,7,0.788285, 0.360649, 0.336283
9,8,0.711857, 0.283791, 0.216574
9,9,0.607157, 0.194404, 0.111043
