x, y, beta, gamma, rx, ry
0,0,1.18656, 0.144482, 0.112266, 0.19947
0,1,1.36443, 0.179507, 0.128448, 0.230027
0,2,1.41718, 0.220229, 0.135291, 0.241043
0,3,1.41332, 0.278408, 0.138982, 0.244791
0,4,1.40097, 0.321611, 0.140974, 0.246151
0,5,1.3779, 0.375547, 0.142923, 0.24661
0,6,1.35257, 0.42679, 0.144597, 0.246547
0,7,1.3235, 0.481382, 0.147676, 0.246262
0,8,1.30508, 0.504716, 0.148635, 0.245175
0,9,1.2719, 0.529752, 0.148691, 0.241954
0,10,1.20279, 0.520884, 0.143973, 0.230737
0,11,1.02309, 0.485387, 0.129545, 0.200391
1,0,1.25117, 0.157651, 0.117163, 0.209688
1,1,1.3884, 0.212891, 0.132743, 0.236123
1,2,1.40866, 0.275555, 0.139561, 0.244008
1,3,1.39251, 0.340415, 0.14361, 0.246337
1,4,1.36889, 0.397691, 0.14708, 0.247094
1,5,1.33015, 0.478118, 0.152007, 0.247288
1,6,1.29231, 0.55415, 0.156737, 0.247301
1,7,1.25234, 0.633217, 0.162963, 0.247297
1,8,1.22829, 0.677429, 0.166612, 0.247036
1,9,1.20184, 0.714909, 0.169171, 0.245906
1,10,1.16009, 0.721793, 0.168352, 0.240095
1,11,1.03487, 0.710338, 0.161185, 0.220022
2,0,1.18632, 0.250223, 0.123188, 0.208195
2,1,1.33269, 0.318353, 0.140933, 0.235436
2,2,1.354, 0.390672, 0.148464, 0.244496
2,3,1.32557, 0.478739, 0.155632, 0.246879
2,4,1.29305, 0.551687, 0.161676, 0.247534
2,5,1.24924, 0.641286, 0.16888, 0.247765
2,6,1.20051, 0.738994, 0.177004, 0.247897
2,7,1.15275, 0.83424, 0.185323, 0.247997
2,8,1.12879, 0.879882, 0.190082, 0.247945
2,9,1.10358, 0.921007, 0.193632, 0.247309
2,10,1.06167, 0.956813, 0.197231, 0.243792
2,11,0.968965, 0.980105, 0.196935, 0.231218
3,0,1.06351, 0.423277, 0.138281, 0.202584
3,1,1.21051, 0.517159, 0.159659, 0.232288
3,2,1.24057, 0.603629, 0.170658, 0.243956
3,3,1.21642, 0.696101, 0.178879, 0.247381
3,4,1.17494, 0.787832, 0.188382, 0.248248
3,5,1.11702, 0.905912, 0.200087, 0.248662
3,6,1.05768, 1.02505, 0.211855, 0.248945
3,7,1.00615, 1.12798, 0.22246, 0.249163
3,8,0.975608, 1.18752, 0.229252, 0.249236
3,9,0.947553, 1.23795, 0.234799, 0.248943
3,10,0.913788, 1.27981, 0.239979, 0.247135
3,11,0.853337, 1.30991, 0.24301, 0.240495
4,0,0.923498, 0.634596, 0.159026, 0.196464
4,1,1.06352, 0.770737, 0.186163, 0.230386
4,2,1.09521, 0.881066, 0.201796, 0.243733
4,3,1.07713, 0.970194, 0.210875, 0.247927
4,4,1.03039, 1.0763, 0.222382, 0.249155
4,5,0.96423, 1.21156, 0.237427, 0.249749
4,6,0.900514, 1.33962, 0.251685, 0.250163
4,7,0.837625, 1.46547, 0.266931, 0.250595
4,8,0.799002, 1.54205, 0.276789, 0.250852
4,9,0.770153, 1.59732, 0.284056, 0.250886
4,10,0.747008, 1.63386, 0.28943, 0.250293
4,11,0.717993, 1.65385, 0.291422, 0.247544
5,0,0.725714, 0.941961, 0.192782, 0.192957
5,1,0.855011, 1.14989, 0.228544, 0.228081
5,2,0.887307, 1.28676, 0.248149, 0.244139
5,3,0.875772, 1.37092, 0.257447, 0.249021
5,4,0.842511, 1.45151, 0.26652, 0.250331
5,5,0.790022, 1.56006, 0.279235, 0.250933
5,6,0.737876, 1.6651, 0.292369, 0.251387
5,7,0.6843, 1.77241, 0.306793, 0.251852
5,8,0.649262, 1.84219, 0.316331, 0.252159
5,9,0.62118, 1.89727, 0.324922, 0.252355
5,10,0.600696, 1.93362, 0.332205, 0.25226
5,11,0.583529, 1.94594, 0.335346, 0.250753
6,0,0.515246, 1.32617, 0.237656, 0.190036
6,1,0.634288, 1.59759, 0.282885, 0.229896
6,2,0.674, 1.72509, 0.301387, 0.246707
6,3,0.68022, 1.76888, 0.306081, 0.250987
6,4,0.662707, 1.81291, 0.312182, 0.251822
6,5,0.630536, 1.87935, 0.323324, 0.252398
6,6,0.589628, 1.96174, 0.335911, 0.252878
6,7,0.547544, 2.04608, 0.348793, 0.253318
6,8,0.513771, 2.11343, 0.36048, 0.253731
6,9,0.488536, 2.16332, 0.36968, 0.254029
6,10,0.467415, 2.20332, 0.376995, 0.254132
6,11,0.451183, 2.22248, 0.381734, 0.253281
7,0,0.391354, 1.61344, 0.277706, 0.194063
7,1,0.492052, 1.91686, 0.32638, 0.234561
7,2,0.535185, 2.0228, 0.342258, 0.249481
7,3,0.539684, 2.05281, 0.347089, 0.252556
7,4,0.525044, 2.08889, 0.353926, 0.253308
7,5,0.497402, 2.14594, 0.364621, 0.253856
7,6,0.470497, 2.20017, 0.374797, 0.254266
7,7,0.443123, 2.25503, 0.38566, 0.25465
7,8,0.413129, 2.31492, 0.397059, 0.25506
7,9,0.393219, 2.35446, 0.404851, 0.255349
7,10,0.376392, 2.3867, 0.411509, 0.255468
7,11,0.361368, 2.40856, 0.416262, 0.255015
8,0,0.344096, 1.71566, 0.294727, 0.195976
8,1,0.440428, 2.03097, 0.344909, 0.235716
8,2,0.472228, 2.14205, 0.3632, 0.249725
8,3,0.475349, 2.17845, 0.369496, 0.253162
8,4,0.462099, 2.21418, 0.3765, 0.254114
8,5,0.437368, 2.26578, 0.386814, 0.254664
8,6,0.411084, 2.31893, 0.397461, 0.2551
8,7,0.382354, 2.37654, 0.409133, 0.255525
8,8,0.360674, 2.41984, 0.417743, 0.255841
8,9,0.342659, 2.45558, 0.424912, 0.256067
8,10,0.33137, 2.47683, 0.429306, 0.256126
8,11,0.319881, 2.49285, 0.432679, 0.255734
9,0,0.309992, 1.72489, 0.295431, 0.192515
9,1,0.390558, 2.07781, 0.355549, 0.232054
9,2,0.422995, 2.2259, 0.380083, 0.249124
9,3,0.425233, 2.27525, 0.388896, 0.253576
9,4,0.414494, 2.30805, 0.39528, 0.254689
9,5,0.388374, 2.36322, 0.406394, 0.255332
9,6,0.357374, 2.42609, 0.419087, 0.255875
9,7,0.324078, 2.49298, 0.43256, 0.256401
9,8,0.304978, 2.53106, 0.440243, 0.256664
9,9,0.291392, 2.55781, 0.445603, 0.256812
9,10,0.284167, 2.57061, 0.448197, 0.256765
9,11,0.278152, 2.57366, 0.449033, 0.256136
10,0,0.267192, 1.66842, 0.287625, 0.180125
10,1,0.334137, 2.08526, 0.359185, 0.22448
10,2,0.358132, 2.31263, 0.398463, 0.246486
10,3,0.361734, 2.38866, 0.411707, 0.253396
10,4,0.34734, 2.43704, 0.42108, 0.255217
10,5,0.318518, 2.50062, 0.433805, 0.25615
10,6,0.28812, 2.56346, 0.446566, 0.256782
10,7,0.252296, 2.63591, 0.461378, 0.257449
10,8,0.239327, 2.66162, 0.466634, 0.257565
10,9,0.230534, 2.67838, 0.469977, 0.257617
10,10,0.231146, 2.67424, 0.46922, 0.257327
10,11,0.23093, 2.66062, 0.466801, 0.25615
11,0,0.198743, 1.49579, 0.262223, 0.156283
11,1,0.255129, 1.98145, 0.344097, 0.204942
11,2,0.288594, 2.3049, 0.400552, 0.235231
11,3,0.291341, 2.47501, 0.430374, 0.249888
11,4,0.280781, 2.54642, 0.443769, 0.254232
11,5,0.26301, 2.60005, 0.454117, 0.255967
11,6,0.242785, 2.64826, 0.463833, 0.256893
11,7,0.220904, 2.69486, 0.473404, 0.257483
11,8,0.212821, 2.71038, 0.476624, 0.257551
11,9,0.204884, 2.72366, 0.479379, 0.257504
11,10,0.202725, 2.71976, 0.478934, 0.256831
11,11,0.199365, 2.69437, 0.47467, 0.254225
