x,y,r,g,b
0,0,0.0196991, 0.0860611, 0.0499819
0,1,0.0186259, 0.132192, 0.0650885
0,2,0.0262169, 0.158631, 0.0648789
0,3,0.0317686, 0.202653, 0.0664514
0,4,0.0386181, 0.192819, 0.0629018
0,5,0.0330586, 0.159453, 0.0437847
0,6,0.0345922, 0.132303, 0.0366677
0,7,0.0191388, 0.0752798, 0.021361
0,8,0.0288683, 0.0366449, 0.0168188
0,9,0.0111722, 0.0301986, 0.00911474
1,0,0.0310728, 0.175636, 0.123132
1,1,0.0579927, 0.264865, 0.163625
1,2,0.0658469, 0.320251, 0.178345
1,3,0.0787003, 0.388245, 0.175383
1,4,0.0891621, 0.374581, 0.173965
1,5,0.0842958, 0.328708, 0.135412
1,6,0.0861341, 0.277253, 0.111374
1,7,0.0760838, 0.184253, 0.0722551
1,8,0.048891, 0.105109, 0.0317988
1,9,0.0292536, 0.0604818, 0.0212379
2,0,0.0619363, 0.28067, 0.25087
2,1,0.0859073, 0.384267, 0.303123
2,2,0.111271, 0.45647, 0.322418
2,3,0.127494, 0.532074, 0.304014
2,4,0.140782, 0.524848, 0.290486
2,5,0.151839, 0.474786, 0.22606
2,6,0.159198, 0.413097, 0.174846
2,7,0.14579, 0.292415, 0.129754
2,8,0.113025, 0.187598, 0.0786794
2,9,0.0509464, 0.103747, 0.0398595
3,0,0.0905283, 0.359401, 0.379751
3,1,0.121134, 0.475518, 0.445901
3,2,0.157258, 0.550337, 0.452292
3,3,0.191897, 0.620552, 0.421284
3,4,0.206371, 0.659162, 0.366544
3,5,0.266498, 0.60938, 0.290643
3,6,0.291901, 0.561602, 0.225208
3,7,0.286355, 0.444171, 0.180229
3,8,0.239024, 0.312842, 0.115915
3,9,0.153179, 0.185439, 0.068216
4,0,0.115159, 0.392351, 0.523711
4,1,0.163536, 0.52654, 0.602431
4,2,0.192982, 0.580237, 0.583354
4,3,0.239729, 0.639008, 0.504751
4,4,0.315223, 0.693218, 0.427002
4,5,0.397624, 0.684974, 0.334164
4,6,0.430929, 0.651597, 0.265996
4,7,0.445259, 0.541935, 0.21027
4,8,0.390655, 0.413131, 0.149466
4,9,0.273751, 0.279078, 0.0797788
5,0,0.136537, 0.366864, 0.605479
5,1,0.192262, 0.482027, 0.681098
5,2,0.250466, 0.539735, 0.665532
5,3,0.324035, 0.610294, 0.582075
5,4,0.437508, 0.661023, 0.470236
5,5,0.554808, 0.656722, 0.354356
5,6,0.592444, 0.60794, 0.283976
5,7,0.606175, 0.531625, 0.238262
5,8,0.567673, 0.429846, 0.185597
5,9,0.43269, 0.314586, 0.120401
6,0,0.19319, 0.314927, 0.685116
6,1,0.271393, 0.384847, 0.742759
6,2,0.380835, 0.448194, 0.738953
6,3,0.467237, 0.529137, 0.668605
6,4,0.586677, 0.586594, 0.542676
6,5,0.68637, 0.584685, 0.38486
6,6,0.701515, 0.551449, 0.286233
6,7,0.717118, 0.499379, 0.225513
6,8,0.693877, 0.40417, 0.187276
6,9,0.545376, 0.304595, 0.123771
7,0,0.218611, 0.254649, 0.711613
7,1,0.331001, 0.294793, 0.777144
7,2,0.472094, 0.350204, 0.777157
7,3,0.573585, 0.438925, 0.726002
7,4,0.702922, 0.506271, 0.591241
7,5,0.784859, 0.510279, 0.407063
7,6,0.77961, 0.492096, 0.286556
7,7,0.780466, 0.455638, 0.202801
7,8,0.72811, 0.382791, 0.16396
7,9,0.581718, 0.285069, 0.12771
8,0,0.260879, 0.177933, 0.647225
8,1,0.393268, 0.220994, 0.754429
8,2,0.533155, 0.267553, 0.766827
8,3,0.635344, 0.364519, 0.734779
8,4,0.75284, 0.435202, 0.610616
8,5,0.810972, 0.450496, 0.431513
8,6,0.789173, 0.435353, 0.298611
8,7,0.771567, 0.366339, 0.191104
8,8,0.710763, 0.311864, 0.145225
8,9,0.575693, 0.222694, 0.125563
9,0,0.262806, 0.130275, 0.559552
9,1,0.424367, 0.191199, 0.69337
9,2,0.56629, 0.223454, 0.732256
9,3,0.633723, 0.33449, 0.720497
9,4,0.736076, 0.400947, 0.60986
9,5,0.782959, 0.420472, 0.435866
9,6,0.73798, 0.375519, 0.289666
9,7,0.705422, 0.315379, 0.184543
9,8,0.636281, 0.24994, 0.132906
9,9,0.513905, 0.187495, 0.0923917
