x,y,r,g,b
0,0,0.0114, 0.0121, 0.0182
0,1,0.0073, 0.0061, 0.0191
0,2,0.0155, 0.0005, 0.0124
0,3,0.0097, 0.0185, 0.0132
0,4,0.0183, 0.0127, 0.0134
0,5,0.0089, 0.0034, 0.0032
0,6,0.0122, 0.0036, 0.0055
0,7,0.0039, 0.0157, 0.0133
0,8,0.017, 0.0108, 0.0185
0,9,0.0011, 0.0103, 0.0094
1,0,0.00271503, 0.0219565, 0.011754
1,1,0.0376133, 0.0546918, 0.0383355
1,2,0.0431627, 0.0604601, 0.0459705
1,3,0.0400547, 0.0770468, 0.0515244
1,4,0.0523167, 0.0735336, 0.0642764
1,5,0.0420682, 0.073876, 0.0602993
1,6,0.0394824, 0.0530167, 0.0529033
1,7,0.0365013, 0.028841, 0.0310712
1,8,0.0103, 0.0038, 0.0021
1,9,0.0066, 0.0049, 0.0124
2,0,0.0122356, 0.0853185, 0.0824455
2,1,0.0460172, 0.138408, 0.131893
2,2,0.0909339, 0.189788, 0.175849
2,3,0.107594, 0.222956, 0.199021
2,4,0.125846, 0.225055, 0.202058
2,5,0.135286, 0.212712, 0.178346
2,6,0.119969, 0.162461, 0.119379
2,7,0.0976641, 0.0906149, 0.079702
2,8,0.060725, 0.0521635, 0.034077
2,9,0.0109783, 0.0234868, 0.0169689
3,0,0.0357707, 0.14117, 0.176735
3,1,0.0928691, 0.22342, 0.266055
3,2,0.177848, 0.332554, 0.32328
3,3,0.230864, 0.380247, 0.340656
3,4,0.273016, 0.381192, 0.332808
3,5,0.274942, 0.36189, 0.280707
3,6,0.239515, 0.286941, 0.194387
3,7,0.184879, 0.18019, 0.117704
3,8,0.10294, 0.0978495, 0.0367004
3,9,0.0238741, 0.0239701, 0.0134361
4,0,0.070752, 0.164424, 0.315845
4,1,0.155492, 0.254871, 0.427259
4,2,0.273183, 0.375116, 0.488915
4,3,0.339233, 0.444615, 0.481544
4,4,0.416747, 0.465636, 0.468149
4,5,0.426994, 0.436593, 0.38655
4,6,0.370779, 0.360062, 0.269622
4,7,0.284468, 0.223128, 0.16349
4,8,0.141669, 0.112936, 0.0668556
4,9,0.0201378, 0.0289816, 0.00351851
5,0,0.125801, 0.15057, 0.422622
5,1,0.230787, 0.24934, 0.555662
5,2,0.345515, 0.370194, 0.611073
5,3,0.425042, 0.423771, 0.578436
5,4,0.498033, 0.448671, 0.537278
5,5,0.551032, 0.483568, 0.459815
5,6,0.477953, 0.401551, 0.315231
5,7,0.344619, 0.255699, 0.201744
5,8,0.16686, 0.134499, 0.0744098
5,9,0.0200185, 0.0353644, 0.00786243
6,0,0.144252, 0.139493, 0.481915
6,1,0.254375, 0.208394, 0.621156
6,2,0.394041, 0.310071, 0.645647
6,3,0.479224, 0.375223, 0.607965
6,4,0.551904, 0.414352, 0.556419
6,5,0.595308, 0.458114, 0.45927
6,6,0.504051, 0.380142, 0.330718
6,7,0.364779, 0.249861, 0.207562
6,8,0.166884, 0.135275, 0.0659007
6,9,0.031359, 0.0179506, 0.00114114
7,0,0.162653, 0.113247, 0.50002
7,1,0.285095, 0.170203, 0.638278
7,2,0.426653, 0.244777, 0.648033
7,3,0.50693, 0.302863, 0.612359
7,4,0.568321, 0.341823, 0.566966
7,5,0.592067, 0.358246, 0.458292
7,6,0.490693, 0.326072, 0.327647
7,7,0.343485, 0.212503, 0.194253
7,8,0.158318, 0.105034, 0.0733636
7,9,0.0233943, 0.0302083, 0.0168911
8,0,0.172361, 0.0847057, 0.458723
8,1,0.296863, 0.127165, 0.602106
8,2,0.412178, 0.183864, 0.60648
8,3,0.496287, 0.243576, 0.577662
8,4,0.548796, 0.269237, 0.536561
8,5,0.517501, 0.276822, 0.424582
8,6,0.43381, 0.246956, 0.283355
8,7,0.294029, 0.166863, 0.164433
8,8,0.130798, 0.0966624, 0.0544476
8,9,0.0130145, 0.0163113, 0.00455737
9,0,0.151787, 0.0524966, 0.35501
9,1,0.265634, 0.0914687, 0.461111
9,2,0.360446, 0.131015, 0.485313
9,3,0.410487, 0.153438, 0.470566
9,4,0.431073, 0.164619, 0.42929
9,5,0.401329, 0.164584, 0.317422
9,6,0.313594, 0.137279, 0.210072
9,7,0.204587, 0.0856435, 0.10826
9,8,0.0810606, 0.0379476, 0.0408861
9,9,0.0197, 0.0112, 0.0056
