x,y,r,g,b
0,0,0.0598812, 0.20528, 0.218959
0,1,0.0774934, 0.270281, 0.233674
0,2,0.0763825, 0.323001, 0.215964
0,3,0.0690031, 0.37416, 0.190569
0,4,0.0676461, 0.379212, 0.148207
0,5,0.0555035, 0.349056, 0.0878224
0,6,0.0613268, 0.265933, 0.0454885
0,7,0.0602222, 0.187216, 0.0229472
0,8,0.0687404, 0.119119, 0.0108505
0,9,0.0630629, 0.0684429, 0.00583951
1,0,0.0696446, 0.321167, 0.333078
1,1,0.116538, 0.402341, 0.373462
1,2,0.110472, 0.483637, 0.365533
1,3,0.104124, 0.546658, 0.33053
1,4,0.130549, 0.587407, 0.270815
1,5,0.132226, 0.565168, 0.182807
1,6,0.140817, 0.461566, 0.101535
1,7,0.14906, 0.372429, 0.0662764
1,8,0.136168, 0.260116, 0.0240256
1,9,0.135009, 0.151501, 0.0114971
2,0,0.0918809, 0.428004, 0.495431
2,1,0.12302, 0.516578, 0.545683
2,2,0.141212, 0.593007, 0.535109
2,3,0.160485, 0.653541, 0.481194
2,4,0.224892, 0.726722, 0.383178
2,5,0.246543, 0.721325, 0.27126
2,6,0.252857, 0.625002, 0.147652
2,7,0.26917, 0.529847, 0.0938725
2,8,0.254261, 0.4182, 0.0507629
2,9,0.212145, 0.290311, 0.0270576
3,0,0.10072, 0.481476, 0.610676
3,1,0.130458, 0.578633, 0.662523
3,2,0.175743, 0.666649, 0.647788
3,3,0.225981, 0.722409, 0.574983
3,4,0.320004, 0.819142, 0.447736
3,5,0.366148, 0.826262, 0.326583
3,6,0.393737, 0.742185, 0.204633
3,7,0.409221, 0.671149, 0.13516
3,8,0.383241, 0.569162, 0.0804313
3,9,0.323801, 0.420119, 0.053653
4,0,0.116672, 0.484244, 0.733459
4,1,0.165528, 0.589284, 0.777716
4,2,0.22902, 0.679396, 0.756331
4,3,0.298435, 0.748034, 0.680595
4,4,0.417142, 0.854631, 0.537331
4,5,0.478274, 0.87156, 0.399802
4,6,0.52404, 0.819682, 0.270614
4,7,0.544168, 0.779938, 0.162387
4,8,0.507178, 0.669004, 0.112044
4,9,0.421369, 0.513729, 0.0653901
5,0,0.159117, 0.422223, 0.820546
5,1,0.236187, 0.529077, 0.845129
5,2,0.32426, 0.63846, 0.836567
5,3,0.411513, 0.732692, 0.776275
5,4,0.547236, 0.823649, 0.622388
5,5,0.628147, 0.823549, 0.475025
5,6,0.677337, 0.805557, 0.343959
5,7,0.704645, 0.774151, 0.227271
5,8,0.658508, 0.681678, 0.166778
5,9,0.562891, 0.53497, 0.106092
6,0,0.221535, 0.356767, 0.830916
6,1,0.309544, 0.452459, 0.854393
6,2,0.416287, 0.560432, 0.842699
6,3,0.517853, 0.650778, 0.798425
6,4,0.65659, 0.752195, 0.678991
6,5,0.732349, 0.746812, 0.540274
6,6,0.763252, 0.710213, 0.40224
6,7,0.77027, 0.659483, 0.285298
6,8,0.747251, 0.576321, 0.205562
6,9,0.660383, 0.45937, 0.128595
7,0,0.256403, 0.260753, 0.836157
7,1,0.373191, 0.366624, 0.860681
7,2,0.499399, 0.482209, 0.851355
7,3,0.607088, 0.590242, 0.822555
7,4,0.734616, 0.688038, 0.715782
7,5,0.800958, 0.678396, 0.590356
7,6,0.816797, 0.631923, 0.453722
7,7,0.822022, 0.568176, 0.319731
7,8,0.79431, 0.480654, 0.217406
7,9,0.701146, 0.384792, 0.138076
8,0,0.312952, 0.179119, 0.783019
8,1,0.438604, 0.276944, 0.844364
8,2,0.581324, 0.384406, 0.851334
8,3,0.692304, 0.503243, 0.821968
8,4,0.813448, 0.602678, 0.757303
8,5,0.861246, 0.60509, 0.637612
8,6,0.86625, 0.549587, 0.492892
8,7,0.854743, 0.455875, 0.332074
8,8,0.82129, 0.354038, 0.208168
8,9,0.715097, 0.286215, 0.137277
9,0,0.313827, 0.111072, 0.710015
9,1,0.482237, 0.211564, 0.779193
9,2,0.638974, 0.306884, 0.797642
9,3,0.740545, 0.413978, 0.783451
9,4,0.844613, 0.484865, 0.744617
9,5,0.881571, 0.473786, 0.630741
9,6,0.852648, 0.438875, 0.479761
9,7,0.830134, 0.358814, 0.339288
9,8,0.766274, 0.278089, 0.22361
9,9,0.664859, 0.197367, 0.126281
