x, y, beta, gamma, rx, ry
0,0,1.11526, 0.135133, 0.106124, 0.18769
0,1,1.33997, 0.168569, 0.125904, 0.225479
0,2,1.41176, 0.208832, 0.134283, 0.239361
0,3,1.41005, 0.275596, 0.138829, 0.24409
0,4,1.39602, 0.327128, 0.141316, 0.245832
0,5,1.37388, 0.381979, 0.14335, 0.246495
0,6,1.34728, 0.43637, 0.145053, 0.246465
0,7,1.31887, 0.490009, 0.148098, 0.246211
0,8,1.3016, 0.51086, 0.148929, 0.24511
0,9,1.2719, 0.529752, 0.148691, 0.241954
0,10,1.20279, 0.520884, 0.143973, 0.230737
0,11,1.02309, 0.485387, 0.129545, 0.200391
1,0,1.15923, 0.156459, 0.109537, 0.195001
1,1,1.36561, 0.2069, 0.130744, 0.232178
1,2,1.40186, 0.27236, 0.139469, 0.242769
1,3,1.38344, 0.353087, 0.144845, 0.24594
1,4,1.35, 0.433155, 0.149942, 0.246966
1,5,1.31576, 0.506283, 0.154328, 0.247277
1,6,1.27924, 0.579969, 0.158684, 0.247296
1,7,1.24363, 0.650445, 0.164214, 0.247296
1,8,1.22214, 0.68949, 0.167502, 0.247026
1,9,1.20184, 0.714909, 0.169171, 0.245906
1,10,1.16009, 0.721793, 0.168352, 0.240095
1,11,1.03487, 0.710338, 0.161185, 0.220022
2,0,1.10839, 0.262301, 0.119051, 0.197214
2,1,1.29658, 0.337774, 0.141447, 0.231338
2,2,1.32907, 0.421551, 0.151828, 0.243145
2,3,1.29649, 0.533004, 0.160713, 0.246671
2,4,1.25941, 0.617942, 0.167672, 0.247556
2,5,1.22328, 0.692914, 0.173778, 0.247837
2,6,1.17841, 0.783019, 0.181038, 0.247958
2,7,1.13992, 0.85982, 0.187553, 0.248029
2,8,1.11998, 0.897385, 0.191632, 0.247964
2,9,1.10358, 0.921007, 0.193632, 0.247309
2,10,1.06167, 0.956813, 0.197231, 0.243792
2,11,0.968965, 0.980105, 0.196935, 0.231218
3,0,0.986998, 0.459687, 0.138164, 0.19368
3,1,1.15611, 0.576024, 0.164536, 0.228517
3,2,1.19239, 0.684378, 0.178948, 0.242965
3,3,1.16851, 0.788855, 0.188291, 0.24735
3,4,1.12812, 0.88074, 0.197867, 0.248401
3,5,1.08157, 0.976622, 0.207631, 0.24883
3,6,1.02755, 1.0852, 0.218158, 0.249087
3,7,0.990099, 1.16003, 0.225701, 0.249235
3,8,0.964214, 1.21024, 0.231569, 0.249285
3,9,0.947553, 1.23795, 0.234799, 0.248943
3,10,0.913788, 1.27981, 0.239979, 0.247135
3,11,0.853337, 1.30991, 0.24301, 0.240495
4,0,0.854136, 0.685123, 0.161663, 0.189618
4,1,1.00517, 0.848534, 0.193546, 0.227635
4,2,1.03996, 0.97959, 0.2123, 0.243078
4,3,1.02347, 1.0748, 0.222111, 0.247992
4,4,0.979344, 1.17779, 0.233342, 0.249378
4,5,0.926271, 1.28734, 0.245969, 0.249961
4,6,0.868141, 1.40431, 0.258937, 0.250347
4,7,0.820972, 1.49875, 0.270593, 0.250688
4,8,0.786599, 1.56683, 0.279544, 0.250922
4,9,0.770153, 1.59732, 0.284056, 0.250886
4,10,0.747008, 1.63386, 0.28943, 0.250293
4,11,0.717993, 1.65385, 0.291422, 0.247544
5,0,0.663167, 1.00132, 0.197463, 0.18815
5,1,0.796965, 1.23744, 0.237523, 0.226102
5,2,0.830523, 1.39178, 0.259654, 0.243773
5,3,0.821112, 1.47831, 0.269309, 0.249172
5,4,0.792371, 1.55135, 0.277604, 0.25058
5,5,0.754169, 1.63168, 0.287477, 0.251147
5,6,0.707647, 1.72553, 0.299351, 0.251573
5,7,0.669605, 1.8018, 0.310147, 0.251942
5,8,0.63796, 1.86478, 0.318933, 0.25223
5,9,0.62118, 1.89727, 0.324922, 0.252355
5,10,0.600696, 1.93362, 0.332205, 0.25226
5,11,0.583529, 1.94594, 0.335346, 0.250753
6,0,0.493592, 1.34935, 0.240065, 0.188565
6,1,0.612328, 1.63317, 0.287098, 0.229366
6,2,0.651988, 1.76692, 0.30645, 0.246685
6,3,0.659651, 1.80965, 0.310997, 0.251096
6,4,0.644836, 1.84857, 0.316503, 0.251936
6,5,0.615971, 1.90846, 0.326912, 0.252498
6,6,0.578336, 1.98431, 0.33873, 0.252958
6,7,0.547544, 2.04608, 0.348793, 0.253318
6,8,0.513771, 2.11343, 0.36048, 0.253731
6,9,0.488536, 2.16332, 0.36968, 0.254029
6,10,0.467415, 2.20332, 0.376995, 0.254132
6,11,0.451183, 2.22248, 0.381734, 0.253281
7,0,0.391354, 1.61344, 0.277706, 0.194063
7,1,0.492052, 1.91686, 0.32638, 0.234561
7,2,0.535185, 2.0228, 0.342258, 0.249481
7,3,0.539684, 2.05281, 0.347089, 0.252556
7,4,0.525044, 2.08889, 0.353926, 0.253308
7,5,0.497402, 2.14594, 0.364621, 0.253856
7,6,0.470497, 2.20017, 0.374797, 0.254266
7,7,0.443123, 2.25503, 0.38566, 0.25465
7,8,0.413129, 2.31492, 0.397059, 0.25506
7,9,0.393219, 2.35446, 0.404851, 0.255349
7,10,0.376392, 2.3867, 0.411509, 0.255468
7,11,0.361368, 2.40856, 0.416262, 0.255015
8,0,0.344096, 1.71566, 0.294727, 0.195976
8,1,0.440428, 2.03097, 0.344909, 0.235716
8,2,0.472228, 2.14205, 0.3632, 0.249725
8,3,0.475349, 2.17845, 0.369496, 0.253162
8,4,0.462099, 2.21418, 0.3765, 0.254114
8,5,0.437368, 2.26578, 0.386814, 0.254664
8,6,0.411084, 2.31893, 0.397461, 0.2551
8,7,0.382354, 2.37654, 0.409133, 0.255525
8,8,0.360674, 2.41984, 0.417743, 0.255841
8,9,0.342659, 2.45558, 0.424912, 0.256067
8,10,0.33137, 2.47683, 0.429306, 0.256126
8,11,0.319881, 2.49285, 0.432679, 0.255734
9,0,0.309992, 1.72489, 0.295431, 0.192515
9,1,0.390558, 2.07781, 0.355549, 0.232054
9,2,0.422995, 2.2259, 0.380083, 0.249124
9,3,0.425233, 2.27525, 0.388896, 0.253576
9,4,0.414494, 2.30805, 0.39528, 0.254689
9,5,0.388374, 2.36322, 0.406394, 0.255332
9,6,0.357374, 2.42609, 0.419087, 0.255875
9,7,0.324078, 2.49298, 0.43256, 0.256401
9,8,0.304978, 2.53106, 0.440243, 0.256664
9,9,0.291392, 2.55781, 0.445603, 0.256812
9,10,0.284167, 2.57061, 0.448197, 0.256765
9,11,0.278152, 2.57366, 0.449033, 0.256136
10,0,0.267192, 1.66842, 0.287625, 0.180125
10,1,0.334137, 2.08526, 0.359185, 0.22448
10,2,0.358132, 2.31263, 0.398463, 0.246486
10,3,0.361734, 2.38866, 0.411707, 0.253396
10,4,0.34734, 2.43704, 0.42108, 0.255217
10,5,0.318518, 2.50062, 0.433805, 0.25615
10,6,0.28812, 2.56346, 0.446566, 0.256782
10,7,0.252296, 2.63591, 0.461378, 0.257449
10,8,0.239327, 2.66162, 0.466634, 0.257565
10,9,0.230534, 2.67838, 0.469977, 0.257617
10,10,0.231146, 2.67424, 0.46922, 0.257327
10,11,0.23093, 2.66062, 0.466801, 0.25615
11,0,0.198743, 1.49579, 0.262223, 0.156283
11,1,0.255129, 1.98145, 0.344097, 0.204942
11,2,0.288594, 2.3049, 0.400552, 0.235231
11,3,0.291341, 2.47501, 0.430374, 0.249888
11,4,0.280781, 2.54642, 0.443769, 0.254232
11,5,0.26301, 2.60005, 0.454117, 0.255967
11,6,0.242785, 2.64826, 0.463833, 0.256893
11,7,0.220904, 2.69486, 0.473404, 0.257483
11,8,0.212821, 2.71038, 0.476624, 0.257551
11,9,0.204884, 2.72366, 0.479379, 0.257504
11,10,0.202725, 2.71976, 0.478934, 0.256831
11,11,0.199365, 2.69437, 0.47467, 0.254225
