x, y, beta, gamma, rx, ry
0,0,0.0021, 0.0022, 0.0096, 0.0046
0,1,0.0912789, 0.0245039, 0.0154063, 0.0234039
0,2,0.250954, 0.0547399, 0.0270644, 0.0475517
0,3,0.435874, 0.10306, 0.0461963, 0.0785874
0,4,0.633128, 0.167278, 0.0703824, 0.11683
0,5,0.785778, 0.21991, 0.0820509, 0.141249
0,6,0.871389, 0.275961, 0.0979439, 0.159082
0,7,0.89296, 0.322268, 0.10476, 0.16811
0,8,0.84668, 0.343704, 0.101247, 0.161125
0,9,0.745592, 0.337097, 0.0938145, 0.145342
0,10,0.577622, 0.30912, 0.084335, 0.118463
0,11,0.38247, 0.268889, 0.0682173, 0.0852736
1,0,0.006, 0.0086, 0.0037, 0.0004
1,1,0.11609, 0.0291495, 0.0131706, 0.0260851
1,2,0.322267, 0.0763498, 0.0378482, 0.0628891
1,3,0.560994, 0.142632, 0.0608186, 0.0986782
1,4,0.803543, 0.213767, 0.0841676, 0.146027
1,5,0.982211, 0.277963, 0.10413, 0.176481
1,6,1.08879, 0.342582, 0.121225, 0.198571
1,7,1.09172, 0.423631, 0.129447, 0.206694
1,8,1.04434, 0.465815, 0.131786, 0.201261
1,9,0.925233, 0.485436, 0.128808, 0.186302
1,10,0.739106, 0.502766, 0.122138, 0.158784
1,11,0.502989, 0.496099, 0.109249, 0.121788
2,0,0.0017, 0.0003, 0.0026, 0.0073
2,1,0.129522, 0.0349913, 0.0201274, 0.0230054
2,2,0.362248, 0.0872031, 0.0375001, 0.0681806
2,3,0.627348, 0.191459, 0.0706956, 0.116824
2,4,0.89848, 0.285152, 0.101264, 0.164457
2,5,1.08903, 0.363984, 0.12384, 0.200904
2,6,1.14556, 0.456582, 0.138226, 0.217625
2,7,1.13987, 0.541526, 0.148462, 0.222838
2,8,1.0954, 0.604624, 0.153401, 0.220638
2,9,1.00488, 0.66178, 0.157959, 0.211873
2,10,0.810572, 0.745586, 0.162102, 0.188874
2,11,0.575223, 0.794638, 0.157386, 0.155158
3,0,0.001, 0.0078, 0.0037, 0.0053
3,1,0.132468, 0.0393048, 0.0216999, 0.0236092
3,2,0.3743, 0.100334, 0.0382481, 0.070188
3,3,0.652775, 0.239236, 0.075751, 0.124511
3,4,0.907988, 0.383869, 0.11602, 0.174651
3,5,1.07283, 0.507791, 0.141661, 0.210206
3,6,1.11799, 0.607454, 0.158642, 0.225365
3,7,1.10012, 0.718003, 0.173134, 0.230677
3,8,1.05361, 0.803228, 0.183801, 0.230377
3,9,0.957644, 0.909406, 0.196034, 0.22423
3,10,0.791161, 1.06175, 0.213953, 0.211102
3,11,0.585727, 1.15955, 0.220181, 0.188684
4,0,0.0091, 0.0087, 0.0029, 0
4,1,0.124802, 0.0384295, 0.0176435, 0.028999
4,2,0.357279, 0.0988528, 0.0413894, 0.0665919
4,3,0.624252, 0.284741, 0.0819404, 0.123291
4,4,0.858389, 0.480525, 0.124726, 0.176084
4,5,0.997942, 0.671037, 0.158623, 0.212027
4,6,1.03116, 0.811245, 0.183198, 0.227869
4,7,0.997387, 0.96624, 0.206212, 0.235243
4,8,0.94383, 1.08609, 0.222868, 0.236434
4,9,0.859504, 1.2252, 0.242389, 0.235036
4,10,0.709362, 1.42964, 0.270431, 0.228434
4,11,0.552405, 1.53293, 0.279575, 0.213882
5,0,0.0049, 0.0047, 0.0084, 0.0097
5,1,0.110094, 0.0405897, 0.0195905, 0.0211873
5,2,0.314949, 0.087731, 0.037993, 0.0571944
5,3,0.554874, 0.292104, 0.0796745, 0.110694
5,4,0.765319, 0.552036, 0.127514, 0.166926
5,5,0.868574, 0.822495, 0.175407, 0.203883
5,6,0.892323, 1.06187, 0.214133, 0.226445
5,7,0.839043, 1.29199, 0.248346, 0.236989
5,8,0.784073, 1.43264, 0.269849, 0.240057
5,9,0.709066, 1.57513, 0.291945, 0.240353
5,10,0.598728, 1.73746, 0.316096, 0.236486
5,11,0.471086, 1.8377, 0.328388, 0.225995
6,0,0.0031, 0.0014, 0.0065, 0.0035
6,1,0.0949562, 0.0358714, 0.0174551, 0.0161782
6,2,0.23896, 0.0776543, 0.0268866, 0.0492325
6,3,0.448224, 0.284809, 0.0725926, 0.097427
6,4,0.621553, 0.58647, 0.127253, 0.144639
6,5,0.714021, 0.9331, 0.183987, 0.189596
6,6,0.726657, 1.26575, 0.236658, 0.217675
6,7,0.683176, 1.56031, 0.279778, 0.234839
6,8,0.630869, 1.71948, 0.306479, 0.240129
6,9,0.563961, 1.85971, 0.330665, 0.241399
6,10,0.480261, 1.97959, 0.350667, 0.23815
6,11,0.387379, 2.0304, 0.358369, 0.228558
7,0,0.0041, 0, 0.0064, 0.0026
7,1,0.0511378, 0.0217187, 0.00644903, 0.0153302
7,2,0.150452, 0.0606982, 0.0169903, 0.030525
7,3,0.319425, 0.255927, 0.0609772, 0.0695299
7,4,0.470149, 0.572511, 0.117199, 0.120936
