x, y, beta, gamma, rx, ry
0,0,0.138984, 0.0226429, 0.0216354, 0.0274169
0,1,0.316259, 0.0497424, 0.0351297, 0.0597518
0,2,0.528468, 0.0809012, 0.0517848, 0.092595
0,3,0.747142, 0.119546, 0.072909, 0.128527
0,4,0.931945, 0.160311, 0.0932702, 0.162175
0,5,1.02578, 0.193799, 0.100368, 0.177129
0,6,1.04172, 0.240492, 0.108461, 0.183242
0,7,1.01237, 0.288391, 0.111109, 0.183945
0,8,0.93598, 0.317837, 0.106175, 0.173131
0,9,0.771634, 0.32704, 0.0951276, 0.148639
0,10,0.577622, 0.30912, 0.084335, 0.118463
0,11,0.38247, 0.268889, 0.0682173, 0.0852736
1,0,0.165512, 0.0330931, 0.0184941, 0.0276213
1,1,0.374004, 0.0606758, 0.0367992, 0.0682238
1,2,0.635643, 0.106448, 0.0648428, 0.113076
1,3,0.902913, 0.154443, 0.0890745, 0.153975
1,4,1.12933, 0.184783, 0.108894, 0.194067
1,5,1.21462, 0.21901, 0.118814, 0.208747
1,6,1.22149, 0.281863, 0.126386, 0.214832
1,7,1.18321, 0.363921, 0.131198, 0.216201
1,8,1.11373, 0.4192, 0.132625, 0.208583
1,9,0.946667, 0.469798, 0.129012, 0.1884
1,10,0.739106, 0.502766, 0.122138, 0.158784
1,11,0.502989, 0.496099, 0.109249, 0.121788
2,0,0.174522, 0.0295158, 0.0188276, 0.0360167
2,1,0.401954, 0.0715409, 0.0441785, 0.068899
2,2,0.686729, 0.123809, 0.0670285, 0.121027
2,3,0.966128, 0.197974, 0.0977442, 0.169665
2,4,1.18466, 0.244118, 0.119481, 0.206253
2,5,1.25794, 0.288973, 0.129829, 0.221476
2,6,1.25724, 0.365945, 0.13797, 0.227811
2,7,1.2205, 0.456726, 0.145839, 0.228811
2,8,1.1576, 0.536516, 0.150812, 0.225065
2,9,1.02262, 0.641332, 0.157219, 0.213041
2,10,0.810572, 0.745586, 0.162102, 0.188874
2,11,0.575223, 0.794638, 0.157386, 0.155158
3,0,0.173024, 0.0378837, 0.0198399, 0.0342515
3,1,0.397216, 0.0784103, 0.0450857, 0.0685218
3,2,0.684199, 0.140224, 0.067092, 0.121269
3,3,0.964785, 0.241868, 0.100428, 0.172851
3,4,1.16702, 0.320932, 0.127002, 0.209931
3,5,1.22792, 0.397113, 0.14036, 0.225536
3,6,1.22494, 0.486775, 0.152246, 0.232369
3,7,1.18208, 0.604239, 0.165243, 0.234521
3,8,1.11782, 0.710607, 0.176689, 0.233077
3,9,0.974133, 0.88511, 0.194357, 0.224891
3,10,0.791161, 1.06175, 0.213953, 0.211102
3,11,0.585727, 1.15955, 0.220181, 0.188684
4,0,0.16595, 0.0378245, 0.0178973, 0.0272545
4,1,0.36219, 0.076917, 0.0394427, 0.0683335
4,2,0.632439, 0.140211, 0.066213, 0.112609
4,3,0.900731, 0.281612, 0.101595, 0.165798
4,4,1.09723, 0.402633, 0.131212, 0.206361
4,5,1.15145, 0.530312, 0.151859, 0.224507
4,6,1.14265, 0.660208, 0.171286, 0.233192
4,7,1.08659, 0.823124, 0.192979, 0.237684
4,8,1.01442, 0.967912, 0.211276, 0.237986
4,9,0.874672, 1.19914, 0.240058, 0.235325
4,10,0.709362, 1.42964, 0.270431, 0.228434
4,11,0.552405, 1.53293, 0.279575, 0.213882
5,0,0.138503, 0.0309445, 0.0206977, 0.0320243
5,1,0.306966, 0.0738975, 0.0373169, 0.054759
5,2,0.541454, 0.125624, 0.0585342, 0.0957626
5,3,0.780367, 0.313281, 0.0985669, 0.147923
5,4,0.95273, 0.501759, 0.134663, 0.191742
5,5,1.00894, 0.707278, 0.169625, 0.21644
5,6,0.997103, 0.921983, 0.201893, 0.231597
5,7,0.925064, 1.1519, 0.234004, 0.239142
5,8,0.852006, 1.31673, 0.257196, 0.241298
5,9,0.718172, 1.56331, 0.290776, 0.240823
5,10,0.597735, 1.74392, 0.316604, 0.236842
5,11,0.472411, 1.8409, 0.328568, 0.226431
6,0,0.0926001, 0.0226106, 0.0150634, 0.0190862
6,1,0.212045, 0.0628661, 0.028492, 0.0368954
6,2,0.377904, 0.109274, 0.0405239, 0.0729578
6,3,0.586441, 0.360444, 0.0931845, 0.12461
6,4,0.73547, 0.642063, 0.143602, 0.167223
6,5,0.792939, 0.958044, 0.193955, 0.203713
6,6,0.773434, 1.27419, 0.242325, 0.225693
6,7,0.712095, 1.55509, 0.28225, 0.238986
6,8,0.651344, 1.7159, 0.307418, 0.24299
6,9,0.547947, 1.91914, 0.337951, 0.243683
6,10,0.478655, 2.01597, 0.354321, 0.240812
6,11,0.398758, 2.05589, 0.360646, 0.232265
7,0,0.055896, 0.0139352, 0.0114745, 0.0117809
7,1,0.119608, 0.0397659, 0.0133985, 0.0272482
7,2,0.232539, 0.0816106, 0.0253014, 0.0449623
7,3,0.408299, 0.357031, 0.082285, 0.0919309
7,4,0.54758, 0.68919, 0.140279, 0.142554
7,5,0.602073, 1.11235, 0.207708, 0.187143
7,6,0.604372, 1.49294, 0.267422, 0.217617
7,7,0.571653, 1.78921, 0.313666, 0.236646
7,8,0.520765, 1.95422, 0.340481, 0.24203
7,9,0.442635, 2.11802, 0.367582, 0.24336
7,10,0.391045, 2.18689, 0.380009, 0.241242
7,11,0.336297, 2.18401, 0.380512, 0.233313
8,0,0.0220056, 0.00703455, 0.0119677, 0.00921862
8,1,0.0490197, 0.0223938, 0.00880792, 0.0113875
8,2,0.112392, 0.0445049, 0.0202357, 0.0255721
8,3,0.2493, 0.336165, 0.0675839, 0.0686234
8,4,0.376371, 0.699785, 0.131922, 0.115948
8,5,0.449789, 1.18171, 0.210139, 0.16922
8,6,0.481718, 1.59998, 0.280571, 0.208077
8,7,0.48237, 1.90458, 0.329329, 0.232117
8,8,0.45839, 2.04063, 0.35193, 0.239732
8,9,0.403698, 2.16773, 0.374291, 0.241915
8,10,0.361694, 2.22101, 0.385233, 0.239548
8,11,0.319159, 2.19141, 0.381493, 0.230737
9,0,0.0029, 0.0017, 0.0014, 0.0093
9,1,0.0075, 0.0019, 0.0067, 0.0033
9,2,0.0264184, 0.0139501, 0.00508839, 0.00586611
9,3,0.120822, 0.308136, 0.0589055, 0.0441761
9,4,0.230882, 0.673964, 0.115738, 0.0929619
9,5,0.308033, 1.17501, 0.204018, 0.144992
9,6,0.366714, 1.61948, 0.278546, 0.190345
9,7,0.39778, 1.95105, 0.334686, 0.223492
9,8,0.394477, 2.08004, 0.357943, 0.23318
9,9,0.376965, 2.14577, 0.369288, 0.235533
9,10,0.341776, 2.18069, 0.377193, 0.233451
9,11,0.299283, 2.13293, 0.37077, 0.223888
10,0,0, 0.0049, 0.0031, 0.0038
10,1,0.0059, 0.0068, 0.0056, 0.006
10,2,0.0054, 0.0087, 0.0069, 0.0024
10,3,0.0721539, 0.266515, 0.0455808, 0.0372883
10,4,0.14915, 0.591997, 0.102628, 0.0768781
10,5,0.225299, 1.06677, 0.185981, 0.125974
10,6,0.288958, 1.50387, 0.257754, 0.168281
10,7,0.32444, 1.88699, 0.325816, 0.206176
10,8,0.356255, 1.98506, 0.341441, 0.219854
10,9,0.347769, 2.05264, 0.353246, 0.223655
10,10,0.317697, 2.06311, 0.356486, 0.220548
10,11,0.291647, 1.95564, 0.338108, 0.206695
11,0,0.0098, 0.0072, 0.0089, 0.0068
11,1,0.0015, 0.0076, 0.0045, 0.0087
11,2,0.0091, 0.0056, 0.0088, 0.0014
11,3,0.0475776, 0.20917, 0.0374318, 0.026345
11,4,0.112787, 0.472769, 0.0864121, 0.0604833
11,5,0.166719, 0.869594, 0.149317, 0.0979631
11,6,0.220758, 1.25654, 0.218847, 0.137924
11,7,0.263667, 1.59066, 0.274557, 0.173719
11,8,0.28353, 1.75876, 0.303806, 0.188776
11,9,0.276289, 1.88561, 0.327835, 0.199961
11,10,0.263196, 1.79794, 0.312838, 0.190227
11,11,0.235554, 1.6464, 0.286878, 0.173595
