x, y, beta, gamma, rx, ry
0,0,0.0719583, 0.0144857, 0.0158216, 0.0163812
0,1,0.228841, 0.0404364, 0.0274654, 0.0456636
0,2,0.422233, 0.0722032, 0.0423646, 0.0754489
0,3,0.629591, 0.115688, 0.0629247, 0.109845
0,4,0.825031, 0.164944, 0.0851721, 0.14611
0,5,0.951809, 0.201556, 0.0946788, 0.166049
0,6,0.992134, 0.24941, 0.105296, 0.176102
0,7,0.97707, 0.296955, 0.109133, 0.179156
0,8,0.908851, 0.324456, 0.104593, 0.169389
0,9,0.771634, 0.32704, 0.0951276, 0.148639
0,10,0.577622, 0.30912, 0.084335, 0.118463
0,11,0.38247, 0.268889, 0.0682173, 0.0852736
1,0,0.0900534, 0.0231604, 0.0115583, 0.0148676
1,1,0.276471, 0.0488389, 0.0278242, 0.0522915
1,2,0.52122, 0.0966208, 0.0549955, 0.094833
1,3,0.78144, 0.153737, 0.0791722, 0.134594
1,4,1.00921, 0.201943, 0.100101, 0.176835
1,5,1.15744, 0.231621, 0.115046, 0.200664
1,6,1.18635, 0.295773, 0.124866, 0.210358
1,7,1.15744, 0.378979, 0.130595, 0.213393
1,8,1.09318, 0.431628, 0.132299, 0.20631
1,9,0.946667, 0.469798, 0.129012, 0.1884
1,10,0.739106, 0.502766, 0.122138, 0.158784
1,11,0.502989, 0.496099, 0.109249, 0.121788
2,0,0.0948551, 0.0170803, 0.0113641, 0.0228511
2,1,0.300817, 0.0569154, 0.0351264, 0.0517754
2,2,0.574147, 0.110384, 0.0566505, 0.10263
2,3,0.861193, 0.196576, 0.0892807, 0.153334
2,4,1.11269, 0.256106, 0.114843, 0.195858
2,5,1.21397, 0.306586, 0.128069, 0.215968
2,6,1.22744, 0.387656, 0.137886, 0.224908
2,7,1.19771, 0.478969, 0.146517, 0.226993
2,8,1.13905, 0.5556, 0.151554, 0.223653
2,9,1.02262, 0.641332, 0.157219, 0.213041
2,10,0.810572, 0.745586, 0.162102, 0.188874
2,11,0.575223, 0.794638, 0.157386, 0.155158
3,0,0.0941252, 0.0242453, 0.012396, 0.0209796
3,1,0.297321, 0.0610515, 0.0360354, 0.051369
3,2,0.574712, 0.122258, 0.0565494, 0.10292
3,3,0.86653, 0.235719, 0.0921757, 0.157214
3,4,1.10079, 0.331824, 0.123734, 0.200496
3,5,1.18464, 0.423397, 0.140449, 0.220906
3,6,1.19392, 0.519096, 0.15406, 0.230142
