x,y,r,g,b
0,0,0.109966, 0.195592, 0.257498
0,1,0.102263, 0.29464, 0.268687
0,2,0.0843241, 0.394451, 0.242358
0,3,0.0760675, 0.473058, 0.218204
0,4,0.0714255, 0.528498, 0.168084
0,5,0.0673632, 0.515333, 0.115333
0,6,0.0788773, 0.422339, 0.0658437
0,7,0.0805375, 0.329599, 0.0443221
0,8,0.0880553, 0.219277, 0.0217697
0,9,0.0810755, 0.121236, 0.0147518
1,0,0.0998916, 0.352358, 0.382116
1,1,0.125456, 0.462561, 0.424003
1,2,0.106586, 0.576462, 0.408048
1,3,0.101279, 0.652006, 0.371801
1,4,0.116363, 0.725362, 0.300308
1,5,0.131149, 0.725819, 0.210257
1,6,0.16544, 0.611247, 0.120445
1,7,0.179788, 0.518361, 0.0811053
1,8,0.176864, 0.384546, 0.0360155
1,9,0.176066, 0.239293, 0.0221519
2,0,0.105463, 0.473791, 0.526348
2,1,0.143958, 0.611883, 0.583019
2,2,0.14921, 0.710662, 0.565931
2,3,0.168465, 0.765419, 0.515922
2,4,0.202509, 0.840683, 0.422217
2,5,0.242135, 0.819627, 0.324521
2,6,0.28004, 0.740719, 0.196633
2,7,0.297981, 0.66951, 0.134564
2,8,0.283758, 0.533714, 0.0584562
2,9,0.255145, 0.381975, 0.036842
3,0,0.1054, 0.541708, 0.630186
3,1,0.147966, 0.690187, 0.679183
3,2,0.162835, 0.795353, 0.660656
3,3,0.216738, 0.817834, 0.60242
3,4,0.280865, 0.878356, 0.497902
3,5,0.336354, 0.863538, 0.380599
3,6,0.387899, 0.797878, 0.243612
3,7,0.408328, 0.773174, 0.155229
3,8,0.410233, 0.656499, 0.0748579
3,9,0.381288, 0.509774, 0.0555631
4,0,0.127301, 0.560638, 0.754076
4,1,0.189692, 0.713612, 0.782121
4,2,0.218024, 0.810753, 0.762489
4,3,0.290358, 0.834551, 0.693997
4,4,0.38508, 0.882304, 0.583661
4,5,0.443022, 0.871606, 0.451948
4,6,0.513689, 0.822704, 0.290777
4,7,0.543272, 0.794229, 0.1884
4,8,0.551785, 0.699635, 0.096296
4,9,0.510698, 0.577779, 0.0693303
5,0,0.171478, 0.496773, 0.826734
5,1,0.257464, 0.652122, 0.832672
5,2,0.319607, 0.747713, 0.822159
5,3,0.391325, 0.812662, 0.770544
5,4,0.512508, 0.868722, 0.663647
5,5,0.571024, 0.834031, 0.516666
5,6,0.658262, 0.789558, 0.350048
5,7,0.696335, 0.756194, 0.24033
5,8,0.701153, 0.671481, 0.142188
5,9,0.64555, 0.575949, 0.103911
6,0,0.301906, 0.389997, 0.841806
6,1,0.397402, 0.509705, 0.858098
6,2,0.469555, 0.595234, 0.851724
6,3,0.529455, 0.660281, 0.804687
6,4,0.623031, 0.725456, 0.696247
6,5,0.6806, 0.73685, 0.557187
6,6,0.759012, 0.686102, 0.397347
6,7,0.78303, 0.653928, 0.278557
6,8,0.795942, 0.581752, 0.171823
6,9,0.738658, 0.504899, 0.126695
7,0,0.374664, 0.270308, 0.85255
7,1,0.492671, 0.387672, 0.872475
7,2,0.580046, 0.470927, 0.875739
7,3,0.635809, 0.548885, 0.838003
7,4,0.728554, 0.618259, 0.732654
7,5,0.782572, 0.643713, 0.590448
7,6,0.837067, 0.598051, 0.43577
7,7,0.866548, 0.568615, 0.312266
7,8,0.860714, 0.484472, 0.20072
7,9,0.806725, 0.419561, 0.135267
8,0,0.457982, 0.163185, 0.812749
8,1,0.581793, 0.262165, 0.859987
8,2,0.673664, 0.349519, 0.87226
8,3,0.738066, 0.434638, 0.839109
8,4,0.819251, 0.514581, 0.74916
8,5,0.854797, 0.55207, 0.612936
8,6,0.875148, 0.509285, 0.463531
8,7,0.884834, 0.462165, 0.330801
8,8,0.873787, 0.38048, 0.21549
8,9,0.798105, 0.331625, 0.152419
9,0,0.473701, 0.108025, 0.761077
9,1,0.636644, 0.160103, 0.817512
9,2,0.720547, 0.250916, 0.838716
9,3,0.793953, 0.330523, 0.823923
9,4,0.854155, 0.3928, 0.737726
9,5,0.878318, 0.4148, 0.593395
9,6,0.860895, 0.373021, 0.435776
9,7,0.858232, 0.352684, 0.313563
9,8,0.819913, 0.310175, 0.228817
9,9,0.740137, 0.250031, 0.147687
