x, y, beta, gamma, rx, ry
0,0,0.138984, 0.0226429, 0.0216354, 0.0274169
0,1,0.35805, 0.0492895, 0.0384934, 0.0661267
0,2,0.614099, 0.079429, 0.0588179, 0.105778
0,3,0.86998, 0.118291, 0.0829557, 0.147649
0,4,1.07331, 0.148063, 0.103537, 0.182965
0,5,1.20693, 0.18443, 0.115203, 0.20502
0,6,1.22492, 0.233322, 0.122014, 0.2116
0,7,1.18792, 0.29447, 0.124217, 0.2114
0,8,1.0964, 0.335947, 0.119678, 0.19962
0,9,0.950826, 0.358047, 0.110823, 0.178895
0,10,0.743259, 0.350976, 0.0986721, 0.147119
0,11,0.51067, 0.310452, 0.079969, 0.10816
1,0,0.165512, 0.0330931, 0.0184941, 0.0276213
1,1,0.426218, 0.0674555, 0.0416851, 0.0767902
1,2,0.720525, 0.112063, 0.0720858, 0.126486
1,3,1.00209, 0.158077, 0.097375, 0.170034
1,4,1.21508, 0.179807, 0.115659, 0.206914
1,5,1.29608, 0.226395, 0.126185, 0.222222
1,6,1.30223, 0.281962, 0.132209, 0.227568
1,7,1.26717, 0.357554, 0.136062, 0.228517
1,8,1.20679, 0.420524, 0.13783, 0.223292
1,9,1.09257, 0.477131, 0.136594, 0.211038
1,10,0.884048, 0.511064, 0.129449, 0.181503
1,11,0.628504, 0.510888, 0.116294, 0.14211
2,0,0.174522, 0.0295158, 0.0188276, 0.0360167
2,1,0.453737, 0.112742, 0.053683, 0.0804162
2,2,0.755762, 0.197612, 0.0828939, 0.137522
2,3,1.02371, 0.281134, 0.114162, 0.185185
2,4,1.20747, 0.330317, 0.134164, 0.21686
2,5,1.26444, 0.388629, 0.144278, 0.230487
2,6,1.2646, 0.447071, 0.14994, 0.235312
2,7,1.23894, 0.51226, 0.154426, 0.236099
2,8,1.19555, 0.571579, 0.156831, 0.233771
2,9,1.1058, 0.643315, 0.160058, 0.225833
2,10,0.929723, 0.714272, 0.161187, 0.204478
2,11,0.689464, 0.764858, 0.156882, 0.170424
3,0,0.179984, 0.127398, 0.0347264, 0.0425667
3,1,0.449284, 0.265973, 0.0768864, 0.0921014
3,2,0.723486, 0.416614, 0.111877, 0.149514
3,3,0.952972, 0.545761, 0.145977, 0.195359
3,4,1.09399, 0.633139, 0.169048, 0.223785
3,5,1.13883, 0.693191, 0.178003, 0.235477
3,6,1.14764, 0.727795, 0.182001, 0.239605
3,7,1.13766, 0.765153, 0.184619, 0.240592
3,8,1.12234, 0.780204, 0.183732, 0.239251
3,9,1.05306, 0.852474, 0.188063, 0.234187
3,10,0.89949, 0.975897, 0.202074, 0.220653
3,11,0.687603, 1.07997, 0.210325, 0.197623
4,0,0.177521, 0.255674, 0.0547666, 0.0471638
4,1,0.412855, 0.468452, 0.104465, 0.107297
4,2,0.636544, 0.704586, 0.154499, 0.158862
4,3,0.813617, 0.894765, 0.192467, 0.201741
4,4,0.917078, 1.02417, 0.217367, 0.228328
4,5,0.957444, 1.08419, 0.225846, 0.23899
4,6,0.975731, 1.09737, 0.227826, 0.242612
4,7,0.98225, 1.10254, 0.227986, 0.243977
4,8,0.992183, 1.07405, 0.222798, 0.242975
4,9,0.938853, 1.1407, 0.229357, 0.240205
4,10,0.803263, 1.31061, 0.252568, 0.233077
4,11,0.639341, 1.42239, 0.264125, 0.218047
5,0,0.161362, 0.403846, 0.0832848, 0.0651732
5,1,0.35315, 0.713467, 0.141343, 0.114335
5,2,0.515987, 1.03164, 0.199168, 0.165822
5,3,0.631487, 1.29074, 0.244009, 0.204756
5,4,0.696946, 1.46314, 0.271884, 0.229584
5,5,0.743035, 1.52209, 0.280664, 0.241062
5,6,0.764642, 1.5298, 0.281428, 0.244809
5,7,0.7802, 1.51899, 0.280071, 0.246317
5,8,0.805392, 1.46298, 0.272407, 0.24565
5,9,0.762323, 1.52151, 0.280091, 0.243879
5,10,0.660248, 1.65685, 0.301838, 0.239213
5,11,0.534238, 1.74668, 0.314556, 0.228128
6,0,0.135394, 0.56917, 0.10773, 0.0702326
6,1,0.288976, 0.975856, 0.180111, 0.124623
6,2,0.402416, 1.37189, 0.24652, 0.177802
6,3,0.480132, 1.67179, 0.298588, 0.213539
6,4,0.522849, 1.84139, 0.325635, 0.232872
6,5,0.562463, 1.89356, 0.331549, 0.243496
6,6,0.591107, 1.88311, 0.329133, 0.246803
6,7,0.606919, 1.8715, 0.327606, 0.248315
6,8,0.628537, 1.82263, 0.32068, 0.247801
6,9,0.595879, 1.86647, 0.327224, 0.246457
6,10,0.520107, 1.96123, 0.344499, 0.24258
6,11,0.430416, 2.00418, 0.352713, 0.23285
7,0,0.116677, 0.742696, 0.136043, 0.0808692
7,1,0.235921, 1.22198, 0.215889, 0.140222
7,2,0.32465, 1.6748, 0.29384, 0.189262
7,3,0.381049, 1.9958, 0.34906, 0.223637
7,4,0.40341, 2.14147, 0.373233, 0.239303
7,5,0.451651, 2.1316, 0.369578, 0.245979
7,6,0.477665, 2.1176, 0.366323, 0.248686
7,7,0.49257, 2.10546, 0.364421, 0.250026
7,8,0.510879, 2.06274, 0.357283, 0.249278
7,9,0.493081, 2.07925, 0.359874, 0.247867
7,10,0.426727, 2.1621, 0.375268, 0.244628
7,11,0.360553, 2.17096, 0.378604, 0.235872
8,0,0.0978475, 0.823507, 0.151175, 0.0868172
8,1,0.198632, 1.33821, 0.235347, 0.14223
8,2,0.274454, 1.81366, 0.318502, 0.193522
8,3,0.318418, 2.14426, 0.373749, 0.226723
8,4,0.340801, 2.27192, 0.395523, 0.240314
8,5,0.378146, 2.27299, 0.393649, 0.246359
8,6,0.398504, 2.2678, 0.39216, 0.249074
8,7,0.41868, 2.24573, 0.387566, 0.250231
8,8,0.440466, 2.19432, 0.377966, 0.249407
8,9,0.433555, 2.18748, 0.376526, 0.247891
8,10,0.375958, 2.25114, 0.389184, 0.244171
8,11,0.323011, 2.22905, 0.387457, 0.234395
9,0,0.0849589, 0.853904, 0.150026, 0.0896443
9,1,0.17072, 1.37773, 0.243193, 0.141209
9,2,0.234771, 1.86694, 0.325861, 0.190796
9,3,0.274026, 2.20858, 0.385536, 0.224943
9,4,0.30366, 2.32324, 0.403857, 0.239134
9,5,0.329976, 2.34587, 0.407043, 0.24492
9,6,0.354095, 2.33478, 0.404009, 0.247675
9,7,0.373501, 2.31606, 0.399969, 0.249294
9,8,0.395866, 2.25951, 0.389418, 0.248003
9,9,0.40449, 2.21623, 0.381101, 0.245595
9,10,0.358314, 2.24619, 0.387636, 0.241247
9,11,0.308489, 2.19929, 0.381625, 0.230505
10,0,0.0778049, 0.831902, 0.147125, 0.0831818
10,1,0.148017, 1.34271, 0.236317, 0.136113
10,2,0.204032, 1.83307, 0.321159, 0.183392
10,3,0.243844, 2.19141, 0.382143, 0.219638
10,4,0.268302, 2.32926, 0.405905, 0.23477
10,5,0.284979, 2.38257, 0.41495, 0.241532
10,6,0.3132, 2.36919, 0.410872, 0.244287
10,7,0.333732, 2.35156, 0.407085, 0.24605
10,8,0.360218, 2.27938, 0.393031, 0.244344
10,9,0.371458, 2.2207, 0.381863, 0.241046
10,10,0.34106, 2.20192, 0.379786, 0.235219
10,11,0.305242, 2.09905, 0.362712, 0.220636
11,0,0.0752612, 0.754494, 0.137635, 0.0774379
11,1,0.123101, 1.21345, 0.21376, 0.123651
11,2,0.173946, 1.6819, 0.296693, 0.165915
11,3,0.208291, 2.07087, 0.362444, 0.204018
11,4,0.226545, 2.25659, 0.395587, 0.222609
11,5,0.253617, 2.30882, 0.402577, 0.230404
11,6,0.275346, 2.32458, 0.404894, 0.23496
11,7,0.299518, 2.30951, 0.400647, 0.237717
11,8,0.315238, 2.24535, 0.388535, 0.234314
11,9,0.322028, 2.17417, 0.376067, 0.230158
11,10,0.309413, 2.08888, 0.361382, 0.220961
11,11,0.268661, 1.95055, 0.338727, 0.203429
