x, y, beta, gamma, rx, ry
0,0,0.0021, 0.0022, 0.0096, 0.0046
0,1,0.0727648, 0.0132532, 0.013045, 0.0197286
0,2,0.186679, 0.0386738, 0.0204918, 0.0363662
0,3,0.324205, 0.0729882, 0.0347561, 0.0588381
0,4,0.474365, 0.122732, 0.0547312, 0.0891513
0,5,0.577254, 0.160643, 0.0600763, 0.103808
0,6,0.625262, 0.215015, 0.0749883, 0.115594
0,7,0.632601, 0.257022, 0.0815752, 0.123223
0,8,0.586692, 0.277454, 0.0771287, 0.11544
0,9,0.507613, 0.277329, 0.0720227, 0.103806
0,10,0.376654, 0.263255, 0.0676035, 0.0841005
0,11,0.24267, 0.228363, 0.0559867, 0.0607021
1,0,0.006, 0.0086, 0.0037, 0.0004
1,1,0.0917105, 0.0141031, 0.00994153, 0.0211956
1,2,0.251067, 0.0556566, 0.0305494, 0.0504571
1,3,0.448044, 0.108695, 0.0491355, 0.0780895
1,4,0.65988, 0.168456, 0.0688516, 0.120502
1,5,0.809922, 0.227915, 0.0863626, 0.145371
1,6,0.87573, 0.316562, 0.104723, 0.163049
1,7,0.875347, 0.401673, 0.115396, 0.172192
1,8,0.817818, 0.447137, 0.119248, 0.164383
1,9,0.708377, 0.478452, 0.118437, 0.153027
1,10,0.544358, 0.506242, 0.113727, 0.129395
1,11,0.359285, 0.48851, 0.102119, 0.0992495
2,0,0.0017, 0.0003, 0.0026, 0.0073
2,1,0.098893, 0.0160189, 0.0162164, 0.0166998
2,2,0.286511, 0.0606352, 0.029041, 0.0544919
2,3,0.514976, 0.126574, 0.0551678, 0.0944724
2,4,0.781704, 0.206107, 0.0841727, 0.139925
2,5,0.988156, 0.281579, 0.10791, 0.178788
2,6,1.0452, 0.407952, 0.126497, 0.198676
2,7,1.03067, 0.529755, 0.142196, 0.205123
2,8,0.963893, 0.621127, 0.150437, 0.201571
2,9,0.821657, 0.708699, 0.158518, 0.187771
2,10,0.636509, 0.802714, 0.163636, 0.166898
2,11,0.43902, 0.823995, 0.156587, 0.136426
3,0,0.001, 0.0078, 0.0037, 0.0053
3,1,0.0966259, 0.0171862, 0.017163, 0.0162304
3,2,0.29691, 0.0689331, 0.0291532, 0.0558119
3,3,0.543956, 0.134224, 0.0548651, 0.0995534
3,4,0.807524, 0.264202, 0.0956737, 0.14971
3,5,1.00244, 0.397324, 0.125, 0.190825
3,6,1.06467, 0.536572, 0.14894, 0.211937
3,7,1.03572, 0.708537, 0.171832, 0.220002
3,8,0.963464, 0.845905, 0.189619, 0.219974
3,9,0.828037, 1.00554, 0.208299, 0.212115
3,10,0.649081, 1.17656, 0.227924, 0.198603
3,11,0.466445, 1.23433, 0.228832, 0.176731
4,0,0.0091, 0.0087, 0.0029, 0
4,1,0.0866054, 0.0149928, 0.0127006, 0.0213794
4,2,0.282266, 0.0648669, 0.032656, 0.0523221
4,3,0.516855, 0.134514, 0.0555578, 0.0948869
4,4,0.76444, 0.284429, 0.0944856, 0.146662
4,5,0.927715, 0.485782, 0.133341, 0.187143
4,6,1.00602, 0.682619, 0.169254, 0.214026
4,7,0.960454, 0.921232, 0.205074, 0.226357
4,8,0.875664, 1.12157, 0.232413, 0.229053
4,9,0.755574, 1.33532, 0.261369, 0.228303
4,10,0.587569, 1.57367, 0.292637, 0.221555
4,11,0.445296, 1.63609, 0.295025, 0.2062
5,0,0.0049, 0.0047, 0.0084, 0.0097
5,1,0.0735126, 0.0185135, 0.0149839, 0.0137285
5,2,0.247595, 0.0554783, 0.0300747, 0.0441147
5,3,0.450907, 0.120453, 0.0507669, 0.0805642
5,4,0.682179, 0.290622, 0.0867325, 0.133652
5,5,0.823176, 0.54819, 0.137043, 0.175215
5,6,0.90094, 0.809874, 0.183408, 0.207631
5,7,0.847101, 1.12105, 0.23069, 0.224675
5,8,0.760471, 1.36259, 0.265635, 0.231017
5,9,0.650312, 1.59077, 0.298013, 0.232863
5,10,0.523188, 1.7848, 0.324402, 0.22875
5,11,0.392353, 1.86423, 0.332125, 0.216389
6,0,0.0031, 0.0014, 0.0065, 0.0035
6,1,0.0633528, 0.0169239, 0.0134688, 0.00968024
6,2,0.197929, 0.0511846, 0.0213447, 0.0409407
6,3,0.376443, 0.103656, 0.0444449, 0.0722412
6,4,0.567913, 0.283346, 0.0829585, 0.111559
6,5,0.688457, 0.580164, 0.135162, 0.157931
6,6,0.737509, 0.913351, 0.192615, 0.191412
6,7,0.691063, 1.30291, 0.252731, 0.215963
6,8,0.621016, 1.58848, 0.295583, 0.228781
6,9,0.535501, 1.80213, 0.327983, 0.232877
6,10,0.448778, 1.93357, 0.346809, 0.229699
6,11,0.34129, 1.98639, 0.35241, 0.218097
7,0,0.0041, 0, 0.0064, 0.0026
7,1,0.0253189, 0.00650768, 0.00307102, 0.0102024
7,2,0.117085, 0.0404294, 0.0125481, 0.0237564
7,3,0.241719, 0.0722866, 0.0317777, 0.0423179
7,4,0.389255, 0.239343, 0.0663696, 0.0814383
7,5,0.482391, 0.573225, 0.122299, 0.126285
7,6,0.525607, 0.976248, 0.189308, 0.164484
7,7,0.49659, 1.44005, 0.266906, 0.198058
7,8,0.438579, 1.79583, 0.323069, 0.216976
7,9,0.384925, 1.995, 0.357107, 0.224604
7,10,0.338549, 2.06869, 0.366874, 0.22358
7,11,0.272746, 2.04148, 0.360816, 0.212442
8,0,0, 0.0002, 0.0098, 0.0053
8,1,0.0003, 0.0021, 0.0033, 0.0022
8,2,0.0520111, 0.0189137, 0.0136066, 0.0142825
8,3,0.12218, 0.0361743, 0.01591, 0.024792
8,4,0.223489, 0.17842, 0.0463503, 0.049419
8,5,0.30082, 0.505925, 0.100191, 0.0926408
8,6,0.349552, 0.900839, 0.171998, 0.132968
8,7,0.351229, 1.3634, 0.249, 0.16887
8,8,0.331391, 1.67966, 0.300509, 0.192157
8,9,0.291538, 1.94642, 0.345987, 0.207808
8,10,0.268981, 2.00482, 0.355985, 0.207538
8,11,0.232016, 1.9183, 0.339877, 0.194859
9,0,0.0029, 0.0017, 0.0014, 0.0093
9,1,0.0075, 0.0019, 0.0067, 0.0033
9,2,0.0264184, 0.0139501, 0.00508839, 0.00586611
9,3,0.0515101, 0.0299256, 0.0132131, 0.0106105
9,4,0.110764, 0.140811, 0.0267357, 0.0312464
9,5,0.149937, 0.408452, 0.078185, 0.0579158
9,6,0.194253, 0.729832, 0.132198, 0.090676
9,7,0.217276, 1.11661, 0.199013, 0.130153
9,8,0.222845, 1.37041, 0.246371, 0.150259
9,9,0.213595, 1.56234, 0.276028, 0.162296
9,10,0.199029, 1.61494, 0.286019, 0.165686
9,11,0.172309, 1.52053, 0.26993, 0.155848
10,0,0, 0.0049, 0.0031, 0.0038
10,1,0.0059, 0.0068, 0.0056, 0.006
10,2,0.0054, 0.0087, 0.0069, 0.0024
10,3,0.0068, 0.009, 0.0022, 0.0066
10,4,0.0209476, 0.0820029, 0.0173855, 0.0168357
10,5,0.0429852, 0.281847, 0.055954, 0.0354258
10,6,0.0742919, 0.50676, 0.0888474, 0.0523567
10,7,0.0912009, 0.796757, 0.144484, 0.0809502
10,8,0.104205, 0.97125, 0.173637, 0.100602
10,9,0.115631, 1.09828, 0.194176, 0.110261
10,10,0.109997, 1.13786, 0.202324, 0.114639
10,11,0.106194, 1.06646, 0.188524, 0.104247
11,0,0.0098, 0.0072, 0.0089, 0.0068
11,1,0.0015, 0.0076, 0.0045, 0.0087
11,2,0.0091, 0.0056, 0.0088, 0.0014
11,3,0.0016, 0.0073, 0.0034, 0.0028
11,4,0.0140614, 0.0495843, 0.016334, 0.011431
11,5,0.0134372, 0.160449, 0.0290651, 0.0160781
11,6,0.0281892, 0.3062, 0.0597025, 0.0298944
11,7,0.04265, 0.476049, 0.0856554, 0.0500709
11,8,0.0514953, 0.57925, 0.10412, 0.0549446
11,9,0.0562748, 0.65667, 0.12149, 0.0678228
11,10,0.0523275, 0.677119, 0.125466, 0.0667047
11,11,0.0506862, 0.632762, 0.116613, 0.0625809
