x, y, beta, gamma, rx, ry
0,0,0.3959, 0.0526823, 0.0439993, 0.0696249
0,1,0.750989, 0.10961, 0.0744717, 0.130823
0,2,1.07173, 0.159471, 0.102745, 0.18285
0,3,1.29032, 0.197977, 0.123824, 0.219477
0,4,1.36506, 0.244763, 0.133589, 0.234966
0,5,1.37311, 0.307213, 0.138127, 0.240658
0,6,1.35815, 0.353439, 0.140312, 0.241832
0,7,1.33428, 0.391038, 0.141101, 0.241107
0,8,1.2856, 0.427828, 0.139863, 0.236177
0,9,1.19026, 0.43484, 0.133461, 0.221933
0,10,1.0087, 0.415389, 0.120801, 0.192794
0,11,0.736227, 0.366386, 0.0989476, 0.147094
1,0,0.426235, 0.0664413, 0.042571, 0.0716098
1,1,0.809424, 0.13371, 0.0786426, 0.140858
1,2,1.13237, 0.196018, 0.111305, 0.195751
1,3,1.32567, 0.246257, 0.130294, 0.228329
1,4,1.37789, 0.300425, 0.138308, 0.241039
1,5,1.37293, 0.354984, 0.141843, 0.244274
1,6,1.35331, 0.404694, 0.144472, 0.245043
1,7,1.32373, 0.461257, 0.147677, 0.244898
1,8,1.28743, 0.511023, 0.14964, 0.242974
1,9,1.22817, 0.546436, 0.150051, 0.236828
1,10,1.08132, 0.569862, 0.14583, 0.216178
1,11,0.830491, 0.578925, 0.134466, 0.178372
2,0,0.43039, 0.125131, 0.0510348, 0.0826998
2,1,0.806652, 0.251591, 0.0964186, 0.147192
2,2,1.09967, 0.350169, 0.127138, 0.202326
2,3,1.25563, 0.426041, 0.146331, 0.232098
2,4,1.30088, 0.481964, 0.153722, 0.243197
2,5,1.29126, 0.534702, 0.157814, 0.245799
2,6,1.27284, 0.579196, 0.160829, 0.24642
2,7,1.2481, 0.628182, 0.16458, 0.246394
2,8,1.21864, 0.675091, 0.167349, 0.245441
2,9,1.17004, 0.721287, 0.170832, 0.241685
2,10,1.06065, 0.773585, 0.173064, 0.229108
2,11,0.854801, 0.828365, 0.171294, 0.20118
3,0,0.406583, 0.226472, 0.0646716, 0.0854467
3,1,0.757667, 0.410274, 0.116143, 0.152308
3,2,1.0207, 0.547358, 0.148682, 0.205603
3,3,1.16544, 0.619571, 0.165743, 0.233519
3,4,1.21592, 0.656245, 0.171194, 0.24394
3,5,1.2116, 0.696873, 0.174103, 0.246376
3,6,1.19474, 0.738216, 0.177096, 0.246979
3,7,1.17072, 0.786835, 0.181453, 0.247058
3,8,1.14149, 0.835869, 0.18595, 0.24642
3,9,1.09118, 0.904884, 0.192869, 0.244159
3,10,0.997355, 0.988814, 0.202197, 0.236526
3,11,0.826397, 1.08708, 0.211167, 0.218834
4,0,0.376401, 0.399818, 0.0890399, 0.0905094
4,1,0.680905, 0.634444, 0.143801, 0.161245
4,2,0.899806, 0.825041, 0.183998, 0.209065
4,3,1.02501, 0.905709, 0.199959, 0.234787
4,4,1.0727, 0.937377, 0.204649, 0.24456
4,5,1.07593, 0.966286, 0.206565, 0.247178
4,6,1.06452, 0.998298, 0.209075, 0.24787
4,7,1.04702, 1.03498, 0.212384, 0.248057
4,8,1.02296, 1.07745, 0.216035, 0.247653
4,9,0.973708, 1.15714, 0.225086, 0.246487
4,10,0.891332, 1.26815, 0.239553, 0.24277
4,11,0.766416, 1.36904, 0.251418, 0.232345
5,0,0.30595, 0.621075, 0.12295, 0.104163
5,1,0.548352, 0.960465, 0.186237, 0.16482
5,2,0.716687, 1.21792, 0.232326, 0.212038
5,3,0.811207, 1.33486, 0.251988, 0.23609
5,4,0.851733, 1.37247, 0.256921, 0.245479
5,5,0.863448, 1.38961, 0.257796, 0.248486
5,6,0.86185, 1.40337, 0.25835, 0.249258
5,7,0.859655, 1.41034, 0.258272, 0.249421
5,8,0.854825, 1.4161, 0.258195, 0.249086
5,9,0.818761, 1.47543, 0.265451, 0.248332
5,10,0.763575, 1.55308, 0.276113, 0.246089
5,11,0.671829, 1.63378, 0.288115, 0.239052
6,0,0.238438, 0.85401, 0.155301, 0.109177
6,1,0.423471, 1.30716, 0.234616, 0.173015
6,2,0.545877, 1.62502, 0.287709, 0.219602
6,3,0.615602, 1.76617, 0.311189, 0.241332
6,4,0.642893, 1.80373, 0.316328, 0.24826
6,5,0.648321, 1.82511, 0.317314, 0.250789
6,6,0.649726, 1.83077, 0.317241, 0.251428
6,7,0.650464, 1.83124, 0.317019, 0.251553
6,8,0.654644, 1.81952, 0.315713, 0.251273
6,9,0.636743, 1.84506, 0.318562, 0.250581
6,10,0.604412, 1.87601, 0.324427, 0.248153
6,11,0.539396, 1.90825, 0.330873, 0.241118
7,0,0.206973, 1.07448, 0.190977, 0.121853
7,1,0.343474, 1.60281, 0.27934, 0.187124
7,2,0.428319, 1.9494, 0.338445, 0.227525
7,3,0.47373, 2.08519, 0.361403, 0.24539
7,4,0.485857, 2.13054, 0.368385, 0.251052
7,5,0.499525, 2.12719, 0.366301, 0.252853
7,6,0.502907, 2.12694, 0.365846, 0.253327
7,7,0.506232, 2.12102, 0.36505, 0.253355
7,8,0.51018, 2.10919, 0.363455, 0.252982
7,9,0.51037, 2.09811, 0.360979, 0.25204
7,10,0.486784, 2.11358, 0.363993, 0.249702
7,11,0.440251, 2.11161, 0.364844, 0.242768
8,0,0.177015, 1.18184, 0.20976, 0.127738
8,1,0.285437, 1.76348, 0.305562, 0.190361
8,2,0.348517, 2.14837, 0.371436, 0.231874
8,3,0.366336, 2.30406, 0.397802, 0.247122
8,4,0.371411, 2.35885, 0.407376, 0.252368
8,5,0.383096, 2.35822, 0.406544, 0.254164
8,6,0.387962, 2.35611, 0.405929, 0.25476
8,7,0.3928, 2.34747, 0.404624, 0.254776
8,8,0.3991, 2.32925, 0.40166, 0.25425
8,9,0.413046, 2.28818, 0.394022, 0.252994
8,10,0.40285, 2.27251, 0.391688, 0.250046
8,11,0.37532, 2.22287, 0.384291, 0.241775
9,0,0.160315, 1.20935, 0.210022, 0.129223
9,1,0.255509, 1.80838, 0.314688, 0.189514
9,2,0.308309, 2.21736, 0.384115, 0.231075
9,3,0.319779, 2.39198, 0.415145, 0.247249
9,4,0.318408, 2.4627, 0.427793, 0.252999
9,5,0.324133, 2.47511, 0.429722, 0.254912
9,6,0.327237, 2.4758, 0.429788, 0.255472
9,7,0.329637, 2.47183, 0.429174, 0.25556
9,8,0.334589, 2.45471, 0.426235, 0.254915
9,9,0.357429, 2.39182, 0.414081, 0.253111
9,10,0.359145, 2.34151, 0.404949, 0.24924
9,11,0.339733, 2.25235, 0.390107, 0.239345
10,0,0.141159, 1.16118, 0.202888, 0.119673
10,1,0.220668, 1.76279, 0.307344, 0.181257
10,2,0.265667, 2.20563, 0.384215, 0.223655
10,3,0.279874, 2.43952, 0.42511, 0.24534
10,4,0.271327, 2.54548, 0.44478, 0.252807
10,5,0.27176, 2.57173, 0.449442, 0.255047
10,6,0.271586, 2.58024, 0.451015, 0.255698
10,7,0.268818, 2.58638, 0.452338, 0.25582
10,8,0.269634, 2.57518, 0.450251, 0.255162
10,9,0.304889, 2.4792, 0.431152, 0.252435
10,10,0.3136, 2.38894, 0.4147, 0.246416
10,11,0.303928, 2.23509, 0.387418, 0.231806
11,0,0.111975, 1.01904, 0.182457, 0.104485
11,1,0.16697, 1.60364, 0.281086, 0.161555
11,2,0.20783, 2.10773, 0.370127, 0.20656
11,3,0.220622, 2.43895, 0.427708, 0.236261
11,4,0.209083, 2.6085, 0.459065, 0.248667
11,5,0.216167, 2.64209, 0.464348, 0.252374
11,6,0.215508, 2.66003, 0.467738, 0.2538
11,7,0.222344, 2.64774, 0.465152, 0.253889
11,8,0.233538, 2.60516, 0.456957, 0.251968
11,9,0.259938, 2.49447, 0.435942, 0.247058
11,10,0.273711, 2.34787, 0.409169, 0.236938
11,11,0.25787, 2.13542, 0.372139, 0.217036
