x,y,r,g,b
0,0,0.010256, 0.010256, 0.0615363
0,1,0.0665615, 0.0385356, 0.014013
0,2,0.0580999, 0.0326812, 0.0399437
0,3,0.0298337, 0.0149168, 0.0447505
0,4,0.0313725, 0.0392157, 0.0705882
0,5,0.0392157, 0.0745098, 0.0745098
0,6,0.0431373, 0.0235294, 0.0392157
0,7,0.0235294, 0.0627451, 0.0117647
0,8,0, 0.0470588, 0.0470588
0,9,0.027451, 0.0627451, 0.0196078
1,0,0.0283579, 0.0101056, 0.0333588
1,1,0.0345936, 0.0484087, 0.0868713
1,2,0.0819952, 0.0451636, 0.0731481
1,3,0.108279, 0.0556737, 0.137248
1,4,0.0922452, 0.0629323, 0.107285
1,5,0.0889791, 0.101252, 0.0956698
1,6,0.0769294, 0.0645612, 0.0758751
1,7,0.0937308, 0.0402395, 0.0267611
1,8,0.0569346, 0.0759474, 0.0633414
1,9,0.0745098, 0.0745098, 0.00784314
2,0,0.0674971, 0.0293202, 0.104176
2,1,0.10709, 0.0330191, 0.170283
2,2,0.129962, 0.0971443, 0.224926
2,3,0.165132, 0.124741, 0.231564
2,4,0.184826, 0.152407, 0.241368
2,5,0.188884, 0.109618, 0.197853
2,6,0.163704, 0.137782, 0.204924
2,7,0.183348, 0.0670002, 0.137072
2,8,0.0592295, 0.0390184, 0.0660618
2,9,0.0235294, 0.0470588, 0
3,0,0.0196187, 0.0458965, 0.133638
3,1,0.0901266, 0.090487, 0.154262
3,2,0.172143, 0.12129, 0.245203
3,3,0.243251, 0.135012, 0.329298
3,4,0.266252, 0.144073, 0.331173
3,5,0.299444, 0.157787, 0.284324
3,6,0.24717, 0.167217, 0.25406
3,7,0.178353, 0.131472, 0.169358
3,8,0.0845915, 0.0792392, 0.0854504
3,9,0.0156863, 0.027451, 0.0156863
4,0,0.0744439, 0.0175556, 0.100344
4,1,0.123295, 0.0634193, 0.226162
4,2,0.199507, 0.112086, 0.311895
4,3,0.270786, 0.144686, 0.425665
4,4,0.351722, 0.175423, 0.411397
4,5,0.380242, 0.23374, 0.354778
4,6,0.302214, 0.157752, 0.278393
4,7,0.202211, 0.107953, 0.133492
4,8,0.146338, 0.053616, 0.0564276
4,9,0.0392157, 0.0235294, 0.0392157
5,0,0.0375296, 0.0269318, 0.117717
5,1,0.115583, 0.0695935, 0.212593
5,2,0.228145, 0.13407, 0.329514
5,3,0.252032, 0.154498, 0.409003
5,4,0.373527, 0.179785, 0.424642
5,5,0.363517, 0.143853, 0.35417
5,6,0.281686, 0.147356, 0.258469
5,7,0.220135, 0.136308, 0.158147
5,8,0.103783, 0.104054, 0.0844872
5,9,0.0329209, 0, 0.060841
6,0,0.0420452, 0.0348872, 0.110961
6,1,0.129137, 0.0644656, 0.197903
6,2,0.163208, 0.0800732, 0.249098
6,3,0.25692, 0.101828, 0.295562
6,4,0.278979, 0.110758, 0.327148
6,5,0.300634, 0.10913, 0.302395
6,6,0.27428, 0.135182, 0.255666
6,7,0.1763, 0.0889927, 0.163094
6,8,0.121979, 0.0517672, 0.0656754
6,9,0.0585765, 0.0376361, 0.067745
7,0,0.0429501, 0.0465995, 0.114719
7,1,0.0982503, 0.0255536, 0.141625
7,2,0.179467, 0.0617785, 0.206921
7,3,0.171065, 0.117466, 0.216024
7,4,0.230585, 0.117096, 0.252104
7,5,0.213003, 0.100304, 0.234432
7,6,0.211582, 0.0871738, 0.19715
7,7,0.166078, 0.0517462, 0.132232
7,8,0.129552, 0.0392332, 0.0973508
7,9,0.0648137, 0.0596674, 0
8,0,0.0418282, 0.0646435, 0.0278163
8,1,0.0546413, 0.0133479, 0.0668701
8,2,0.0781379, 0.0783055, 0.102874
8,3,0.105145, 0.0526057, 0.149121
8,4,0.127081, 0.0669833, 0.138804
8,5,0.12031, 0.0513676, 0.102012
8,6,0.172882, 0.0154471, 0.08328
8,7,0.102718, 0.00845482, 0.0649164
8,8,0.109579, 0.0244293, 0.0446405
8,9,0.0472742, 0, 0.0111445
9,0,0.00392157, 0.0431373, 0.0470588
9,1,0.0117647, 0.0745098, 0.054902
9,2,0.0235294, 0.0666667, 0.0509804
9,3,0.0573553, 0.0111876, 0.0633966
9,4,0.0900153, 0.0399437, 0.0544687
9,5,0.0670516, 0.0455421, 0.0280259
9,6,0.0803081, 0.00683736, 0.00683736
9,7,0.0845678, 0.0210194, 0.0490453
9,8,0.0609654, 0.0580999, 0.00726249
9,9,0.0797306, 0.0149168, 0.00745842
