x,y,r,g,b
0,0,0.010256, 0.010256, 0.0615363
0,1,0.0847527, 0.0575773, 0.0337988
0,2,0.100291, 0.0766364, 0.0639978
0,3,0.0938025, 0.0990475, 0.0814927
0,4,0.105262, 0.136208, 0.10822
0,5,0.114364, 0.174026, 0.111209
0,6,0.111494, 0.126586, 0.0767515
0,7,0.082246, 0.147351, 0.0458226
0,8,0.0332173, 0.103022, 0.0567989
0,9,0.0367235, 0.0911577, 0.0291184
1,0,0.0269669, 0.00960988, 0.0480565
1,1,0.0582763, 0.0708359, 0.122652
1,2,0.133768, 0.102066, 0.115637
1,3,0.197396, 0.169342, 0.196259
1,4,0.206595, 0.203301, 0.180803
1,5,0.214282, 0.249431, 0.168583
1,6,0.196113, 0.216691, 0.148812
1,7,0.188684, 0.173706, 0.0989424
1,8,0.11948, 0.158025, 0.0982188
1,9,0.102556, 0.118462, 0.040516
2,0,0.0733958, 0.026056, 0.156478
2,1,0.13708, 0.0600722, 0.245353
2,2,0.194595, 0.152992, 0.292364
2,3,0.29304, 0.237613, 0.32015
2,4,0.34305, 0.29568, 0.328128
2,5,0.364979, 0.295072, 0.287942
2,6,0.336641, 0.311586, 0.267654
2,7,0.31968, 0.226935, 0.211973
2,8,0.1746, 0.143399, 0.121867
2,9,0.0923516, 0.100252, 0.0513181
3,0,0.0354754, 0.0386677, 0.202931
3,1,0.127381, 0.104304, 0.260587
3,2,0.242849, 0.168166, 0.335168
3,3,0.385412, 0.24693, 0.39932
3,4,0.456979, 0.320043, 0.405537
3,5,0.501533, 0.350143, 0.33873
3,6,0.464273, 0.363094, 0.310361
3,7,0.389868, 0.279094, 0.251265
3,8,0.261697, 0.179073, 0.153382
3,9,0.126973, 0.0867541, 0.073937
4,0,0.0847459, 0.0141713, 0.1945
4,1,0.15024, 0.0757681, 0.344287
4,2,0.2613, 0.147662, 0.409996
4,3,0.403959, 0.226817, 0.463437
4,4,0.494417, 0.282074, 0.433851
4,5,0.551796, 0.327911, 0.387271
4,6,0.539197, 0.296008, 0.339896
4,7,0.442411, 0.238973, 0.240149
4,8,0.332934, 0.150443, 0.14048
4,9,0.163815, 0.0801803, 0.096677
5,0,0.0581497, 0.0220807, 0.211255
5,1,0.152111, 0.0775851, 0.340558
5,2,0.282412, 0.140603, 0.465304
5,3,0.390271, 0.198524, 0.460689
5,4,0.505308, 0.234757, 0.435502
5,5,0.559786, 0.22751, 0.378938
5,6,0.568712, 0.219097, 0.306867
5,7,0.472067, 0.212283, 0.241002
5,8,0.316093, 0.163171, 0.15512
5,9,0.165124, 0.0517213, 0.110603
6,0,0.0607031, 0.0299128, 0.191926
6,1,0.157318, 0.0714609, 0.304593
6,2,0.227232, 0.100716, 0.360219
6,3,0.384069, 0.146251, 0.379051
6,4,0.449429, 0.163864, 0.37366
6,5,0.531404, 0.165905, 0.338612
6,6,0.551266, 0.17961, 0.271158
6,7,0.432323, 0.153785, 0.221212
6,8,0.317178, 0.106376, 0.12953
6,9,0.179447, 0.0719738, 0.107858
7,0,0.0574661, 0.0417924, 0.17513
7,1,0.110833, 0.0224144, 0.214441
7,2,0.20484, 0.0512731, 0.283121
7,3,0.285731, 0.0945196, 0.29061
7,4,0.372113, 0.0921031, 0.304874
7,5,0.410125, 0.0805276, 0.277467
7,6,0.422838, 0.0751337, 0.220009
7,7,0.357799, 0.0528156, 0.17061
7,8,0.279713, 0.0439188, 0.135525
7,9,0.162594, 0.0625011, 0.0328102
8,0,0.0535565, 0.0620397, 0.0669353
8,1,0.0682951, 0.0126932, 0.112592
8,2,0.114005, 0.0711895, 0.158898
8,3,0.204547, 0.0439046, 0.198843
8,4,0.250513, 0.0538779, 0.185094
8,5,0.267842, 0.0402528, 0.14848
8,6,0.312518, 0.0124354, 0.106031
8,7,0.238001, 0.00702128, 0.0869271
8,8,0.214257, 0.0212207, 0.0643309
8,9,0.113328, 0, 0.0204766
9,0,0.00392157, 0.0431373, 0.0470588
9,1,0.0117647, 0.0745098, 0.054902
9,2,0.0430265, 0.0646435, 0.0595389
9,3,0.109704, 0.0104112, 0.0720027
9,4,0.153744, 0.0364544, 0.0653866
9,5,0.142792, 0.041025, 0.0419406
9,6,0.155955, 0.0061592, 0.0216321
9,7,0.151693, 0.0191833, 0.0575162
9,8,0.116371, 0.0540675, 0.016457
9,9,0.107628, 0.0144642, 0.00723208
