x,y,r,g,b
0,0,0.067652, 0.633312, 0.485898
0,1,0.108578, 0.721513, 0.604852
0,2,0.175357, 0.78801, 0.673514
0,3,0.258229, 0.825807, 0.718143
0,4,0.39572, 0.869299, 0.719128
0,5,0.527497, 0.887875, 0.627445
0,6,0.586847, 0.893929, 0.485128
0,7,0.595495, 0.875984, 0.344711
0,8,0.534515, 0.838984, 0.231274
0,9,0.446136, 0.777251, 0.126618
1,0,0.0904434, 0.59708, 0.596693
1,1,0.142083, 0.689767, 0.679447
1,2,0.225582, 0.736171, 0.749509
1,3,0.32037, 0.788179, 0.777108
1,4,0.477839, 0.851684, 0.755507
1,5,0.611176, 0.880908, 0.653674
1,6,0.674309, 0.895372, 0.509696
1,7,0.699228, 0.891043, 0.357621
1,8,0.647576, 0.883616, 0.231662
1,9,0.530385, 0.839297, 0.127934
2,0,0.113688, 0.525048, 0.676134
2,1,0.208111, 0.598719, 0.748755
2,2,0.306637, 0.659698, 0.779289
2,3,0.398784, 0.702737, 0.802917
2,4,0.554225, 0.774778, 0.775859
2,5,0.689798, 0.815483, 0.679844
2,6,0.756481, 0.847449, 0.528141
2,7,0.786036, 0.864056, 0.367091
2,8,0.714678, 0.851506, 0.233903
2,9,0.607161, 0.810574, 0.124456
3,0,0.135541, 0.403064, 0.717849
3,1,0.263527, 0.462569, 0.779933
3,2,0.381124, 0.524518, 0.806268
3,3,0.488663, 0.568451, 0.812299
3,4,0.649496, 0.654655, 0.791564
3,5,0.749039, 0.701177, 0.687159
3,6,0.792148, 0.744423, 0.54073
3,7,0.819741, 0.771815, 0.387596
3,8,0.781435, 0.801408, 0.224808
3,9,0.690559, 0.744697, 0.128775
4,0,0.157366, 0.231655, 0.762473
4,1,0.324052, 0.307642, 0.835191
4,2,0.475056, 0.380494, 0.855974
4,3,0.603043, 0.432746, 0.851491
4,4,0.757671, 0.528639, 0.81516
4,5,0.822283, 0.575799, 0.702807
4,6,0.838066, 0.623312, 0.555959
4,7,0.858827, 0.655571, 0.402303
4,8,0.826123, 0.684101, 0.230112
4,9,0.746025, 0.639613, 0.127854
5,0,0.167844, 0.137372, 0.703397
5,1,0.343177, 0.188265, 0.801887
5,2,0.517165, 0.248548, 0.839007
5,3,0.665121, 0.295626, 0.840031
5,4,0.827466, 0.382025, 0.81333
5,5,0.870693, 0.429793, 0.689977
5,6,0.875593, 0.472028, 0.550077
5,7,0.873851, 0.501351, 0.403624
5,8,0.843104, 0.513478, 0.22331
5,9,0.756241, 0.474187, 0.125932
6,0,0.147164, 0.0664788, 0.559422
6,1,0.322582, 0.106562, 0.665859
6,2,0.485239, 0.155263, 0.717396
6,3,0.638194, 0.192783, 0.741515
6,4,0.813954, 0.231948, 0.768745
6,5,0.873554, 0.279136, 0.657054
6,6,0.871489, 0.301805, 0.516754
6,7,0.844849, 0.317529, 0.376638
6,8,0.790593, 0.312157, 0.19164
6,9,0.695919, 0.295071, 0.105353
7,0,0.134445, 0.0619477, 0.445875
7,1,0.285346, 0.0867773, 0.54913
7,2,0.439525, 0.122875, 0.615912
7,3,0.582831, 0.144392, 0.653919
7,4,0.766128, 0.176252, 0.693716
7,5,0.843845, 0.189671, 0.613986
7,6,0.841352, 0.201618, 0.488354
7,7,0.791309, 0.199452, 0.352706
7,8,0.705878, 0.179914, 0.182805
7,9,0.592555, 0.167256, 0.0822386
8,0,0.117357, 0.0688506, 0.275836
8,1,0.231485, 0.0725019, 0.381881
8,2,0.360711, 0.103412, 0.458679
8,3,0.498747, 0.100287, 0.517975
8,4,0.657869, 0.118544, 0.570858
8,5,0.741007, 0.123044, 0.505722
8,6,0.746418, 0.119944, 0.398451
8,7,0.682973, 0.116568, 0.287428
8,8,0.592269, 0.104272, 0.139594
8,9,0.475424, 0.0856638, 0.0628121
9,0,0.0696772, 0.0651153, 0.148347
9,1,0.150521, 0.0942755, 0.225678
9,2,0.264804, 0.0816587, 0.30328
9,3,0.388219, 0.0721701, 0.356916
9,4,0.517395, 0.0871122, 0.397802
9,5,0.585504, 0.0868063, 0.359411
9,6,0.588713, 0.0719408, 0.28456
9,7,0.540715, 0.073812, 0.219163
9,8,0.449694, 0.0939248, 0.103159
9,9,0.363219, 0.0537772, 0.0444595
