x,y,r,g,b
0,0,0.0411547, 0.0766772, 0.139954
0,1,0.129331, 0.183038, 0.175774
0,2,0.196889, 0.287539, 0.25875
0,3,0.224518, 0.399418, 0.298369
0,4,0.276058, 0.497502, 0.324037
0,5,0.298429, 0.54564, 0.301833
0,6,0.284478, 0.504212, 0.240205
0,7,0.240347, 0.451335, 0.164871
0,8,0.178337, 0.332716, 0.120708
0,9,0.122699, 0.225121, 0.0566982
1,0,0.0597414, 0.10031, 0.176817
1,1,0.11272, 0.229898, 0.297602
1,2,0.230347, 0.344128, 0.360318
1,3,0.297175, 0.488193, 0.427437
1,4,0.36174, 0.611807, 0.429705
1,5,0.413239, 0.654219, 0.37208
1,6,0.382695, 0.61124, 0.284587
1,7,0.371214, 0.519576, 0.206077
1,8,0.314676, 0.403817, 0.157361
1,9,0.245594, 0.282569, 0.0776898
2,0,0.100104, 0.115732, 0.275499
2,1,0.175262, 0.219707, 0.39545
2,2,0.273811, 0.37901, 0.485798
2,3,0.355893, 0.52496, 0.52676
2,4,0.427803, 0.609561, 0.4844
2,5,0.482916, 0.647708, 0.438889
2,6,0.479871, 0.612616, 0.350407
2,7,0.475739, 0.521511, 0.27706
2,8,0.397791, 0.399996, 0.186157
2,9,0.293231, 0.289012, 0.0939453
3,0,0.0719637, 0.120791, 0.320518
3,1,0.168714, 0.236115, 0.421689
3,2,0.287893, 0.365964, 0.524346
3,3,0.369333, 0.481189, 0.555206
3,4,0.468983, 0.564456, 0.507331
3,5,0.534245, 0.592095, 0.438322
3,6,0.555505, 0.575141, 0.36738
3,7,0.56619, 0.5149, 0.312931
3,8,0.479223, 0.403844, 0.209961
3,9,0.338882, 0.277983, 0.121249
4,0,0.106694, 0.0918019, 0.311851
4,1,0.173736, 0.197984, 0.478088
4,2,0.268974, 0.323832, 0.579941
4,3,0.365495, 0.416523, 0.570333
4,4,0.487351, 0.492556, 0.50812
4,5,0.563792, 0.523467, 0.441055
4,6,0.599316, 0.503463, 0.365312
4,7,0.601838, 0.466252, 0.286515
4,8,0.532232, 0.367242, 0.19042
4,9,0.36997, 0.260638, 0.138208
5,0,0.082362, 0.0751861, 0.308156
5,1,0.1705, 0.146161, 0.450179
5,2,0.283431, 0.231114, 0.577968
5,3,0.37033, 0.29175, 0.567434
5,4,0.520483, 0.352907, 0.519654
5,5,0.591517, 0.360515, 0.441135
5,6,0.632286, 0.36287, 0.348693
5,7,0.603251, 0.354775, 0.279014
5,8,0.497032, 0.306084, 0.20962
5,9,0.349769, 0.190578, 0.151568
6,0,0.0650426, 0.055832, 0.251414
6,1,0.152224, 0.100578, 0.369482
6,2,0.21331, 0.130272, 0.426507
6,3,0.353142, 0.169193, 0.438956
6,4,0.470062, 0.221875, 0.422542
6,5,0.564675, 0.239531, 0.368549
6,6,0.613484, 0.260174, 0.292469
6,7,0.542279, 0.2475, 0.246151
6,8,0.450679, 0.205898, 0.173718
6,9,0.317663, 0.159686, 0.146043
7,0,0.0551514, 0.0535222, 0.208315
7,1,0.105397, 0.0376489, 0.252924
7,2,0.194041, 0.0661255, 0.320862
7,3,0.271716, 0.106217, 0.325357
7,4,0.388667, 0.127958, 0.332845
7,5,0.443515, 0.131149, 0.293373
7,6,0.476185, 0.130759, 0.2241
7,7,0.42789, 0.118053, 0.18241
7,8,0.359261, 0.107343, 0.150725
7,9,0.245465, 0.112932, 0.0582871
8,0,0.0535565, 0.0620397, 0.0669353
8,1,0.0682951, 0.0126932, 0.112592
8,2,0.114005, 0.0711895, 0.158898
8,3,0.204547, 0.0439046, 0.198843
8,4,0.263121, 0.0623484, 0.189582
8,5,0.283879, 0.0520446, 0.155912
8,6,0.329856, 0.0281594, 0.117165
8,7,0.260565, 0.0242067, 0.0998999
8,8,0.236416, 0.0365138, 0.0775094
8,9,0.13559, 0.0134132, 0.033065
9,0,0.00392157, 0.0431373, 0.0470588
9,1,0.0117647, 0.0745098, 0.054902
9,2,0.0430265, 0.0646435, 0.0595389
9,3,0.109704, 0.0104112, 0.0720027
9,4,0.153744, 0.0364544, 0.0653866
9,5,0.142792, 0.041025, 0.0419406
9,6,0.155955, 0.0061592, 0.0216321
9,7,0.151693, 0.0191833, 0.0575162
9,8,0.116371, 0.0540675, 0.016457
9,9,0.107628, 0.0144642, 0.00723208
