x,y,r,g,b
0,0,0.048308, 0.600037, 0.561375
0,1,0.0833473, 0.710016, 0.651588
0,2,0.125925, 0.772303, 0.690086
0,3,0.219035, 0.807457, 0.720012
0,4,0.345856, 0.844861, 0.712242
0,5,0.499925, 0.864459, 0.608253
0,6,0.565656, 0.861109, 0.47238
0,7,0.56733, 0.846716, 0.342551
0,8,0.504648, 0.804242, 0.219805
0,9,0.422042, 0.744249, 0.124996
1,0,0.0711272, 0.594471, 0.625508
1,1,0.120747, 0.707567, 0.710437
1,2,0.19108, 0.735328, 0.774645
1,3,0.312579, 0.769333, 0.772311
1,4,0.453674, 0.81439, 0.765607
1,5,0.604275, 0.839988, 0.646675
1,6,0.66986, 0.852708, 0.513224
1,7,0.683083, 0.854458, 0.365044
1,8,0.63793, 0.847591, 0.223185
1,9,0.518353, 0.802341, 0.128685
2,0,0.0998989, 0.524534, 0.686596
2,1,0.178015, 0.612906, 0.767927
2,2,0.271869, 0.663854, 0.809054
2,3,0.393106, 0.702644, 0.816089
2,4,0.529337, 0.745264, 0.788302
2,5,0.692802, 0.790984, 0.674591
2,6,0.761386, 0.80867, 0.532239
2,7,0.767516, 0.81849, 0.367365
2,8,0.726441, 0.796505, 0.230971
2,9,0.63361, 0.743727, 0.133201
3,0,0.1467, 0.430845, 0.708459
3,1,0.247244, 0.50712, 0.781408
3,2,0.371954, 0.555094, 0.819636
3,3,0.493641, 0.6042, 0.812946
3,4,0.619043, 0.651285, 0.790824
3,5,0.742815, 0.703049, 0.659185
3,6,0.794223, 0.723131, 0.520833
3,7,0.825, 0.744236, 0.366468
3,8,0.811699, 0.743024, 0.219955
3,9,0.715591, 0.685851, 0.12972
4,0,0.197819, 0.2632, 0.713045
4,1,0.330252, 0.338151, 0.819303
4,2,0.486028, 0.398167, 0.852105
4,3,0.615124, 0.461029, 0.834319
4,4,0.732909, 0.531113, 0.799283
4,5,0.820301, 0.581477, 0.655499
4,6,0.845565, 0.604556, 0.515946
4,7,0.871918, 0.630161, 0.366285
4,8,0.855908, 0.622982, 0.226861
4,9,0.766563, 0.586127, 0.126417
5,0,0.213231, 0.157049, 0.668601
5,1,0.356449, 0.21254, 0.783068
5,2,0.529878, 0.27968, 0.824302
5,3,0.662347, 0.33921, 0.806299
5,4,0.766958, 0.412942, 0.758858
5,5,0.845324, 0.459415, 0.622177
5,6,0.864685, 0.474403, 0.503012
5,7,0.875956, 0.485065, 0.361495
5,8,0.860642, 0.464815, 0.228898
5,9,0.769089, 0.424499, 0.124243
6,0,0.203997, 0.0984965, 0.532148
6,1,0.348606, 0.140128, 0.659613
6,2,0.508523, 0.197423, 0.714261
6,3,0.64829, 0.242563, 0.713976
6,4,0.757096, 0.282142, 0.690115
6,5,0.856148, 0.321405, 0.571973
6,6,0.86787, 0.335703, 0.452219
6,7,0.850678, 0.347432, 0.32778
6,8,0.812577, 0.327154, 0.200847
6,9,0.714785, 0.310409, 0.11083
7,0,0.165734, 0.0855034, 0.427244
7,1,0.295421, 0.112828, 0.533978
7,2,0.460795, 0.156625, 0.609716
7,3,0.60169, 0.178078, 0.63057
7,4,0.736456, 0.197022, 0.641418
7,5,0.83419, 0.207503, 0.547274
7,6,0.841935, 0.218208, 0.439085
7,7,0.800759, 0.216239, 0.315946
7,8,0.734101, 0.193531, 0.196641
7,9,0.614661, 0.181501, 0.0892429
8,0,0.131296, 0.0918155, 0.272929
8,1,0.21791, 0.0926605, 0.366003
8,2,0.359509, 0.132, 0.448497
8,3,0.507145, 0.118258, 0.499412
8,4,0.634061, 0.125618, 0.526996
8,5,0.728059, 0.127595, 0.449516
8,6,0.743133, 0.124539, 0.359765
8,7,0.689161, 0.124274, 0.260815
8,8,0.622015, 0.116234, 0.155609
8,9,0.495707, 0.0978634, 0.0717574
9,0,0.070818, 0.0926863, 0.135954
9,1,0.133302, 0.13281, 0.196171
9,2,0.26137, 0.119409, 0.281269
9,3,0.404273, 0.0936573, 0.339617
9,4,0.508034, 0.0996176, 0.371272
9,5,0.578693, 0.0958659, 0.329004
9,6,0.585983, 0.0787351, 0.271113
9,7,0.545219, 0.082496, 0.215047
9,8,0.466313, 0.107301, 0.11785
9,9,0.37068, 0.0670539, 0.0554358
