x,y,r,g,b
0,0,0.0647905, 0.341742, 0.397454
0,1,0.102428, 0.494305, 0.477192
0,2,0.133941, 0.633819, 0.56035
0,3,0.192206, 0.699552, 0.555635
0,4,0.304478, 0.741226, 0.552791
0,5,0.451087, 0.784238, 0.490485
0,6,0.512584, 0.759615, 0.383629
0,7,0.480719, 0.722685, 0.309154
0,8,0.39065, 0.631005, 0.207334
0,9,0.308423, 0.503787, 0.12205
1,0,0.0881493, 0.380432, 0.467528
1,1,0.107277, 0.533232, 0.591466
1,2,0.150032, 0.640673, 0.659709
1,3,0.217077, 0.708337, 0.642678
1,4,0.329632, 0.763198, 0.603569
1,5,0.461001, 0.799499, 0.487041
1,6,0.523947, 0.777689, 0.361499
1,7,0.540854, 0.735915, 0.280121
1,8,0.519767, 0.684522, 0.208578
1,9,0.414689, 0.549191, 0.132796
2,0,0.121162, 0.387049, 0.544401
2,1,0.157606, 0.524528, 0.6739
2,2,0.186136, 0.634599, 0.72002
2,3,0.259443, 0.683699, 0.688883
2,4,0.354502, 0.732443, 0.624214
2,5,0.486231, 0.765756, 0.484645
2,6,0.562086, 0.746534, 0.344609
2,7,0.604176, 0.717932, 0.266331
2,8,0.58096, 0.653376, 0.216724
2,9,0.482132, 0.538306, 0.134669
3,0,0.143333, 0.350901, 0.569584
3,1,0.203804, 0.455582, 0.676876
3,2,0.282656, 0.529313, 0.736521
3,3,0.339185, 0.580891, 0.718337
3,4,0.426803, 0.6326, 0.654785
3,5,0.539973, 0.668394, 0.505843
3,6,0.619926, 0.672818, 0.365628
3,7,0.657586, 0.647853, 0.281786
3,8,0.641994, 0.607357, 0.202115
3,9,0.529555, 0.49637, 0.140281
4,0,0.178053, 0.252356, 0.528926
4,1,0.251142, 0.333383, 0.675208
4,2,0.338013, 0.391426, 0.7406
4,3,0.421702, 0.425301, 0.728725
4,4,0.517015, 0.461431, 0.661222
4,5,0.641468, 0.481963, 0.509118
4,6,0.721683, 0.485895, 0.367039
4,7,0.740984, 0.471882, 0.259516
4,8,0.710603, 0.441359, 0.175487
4,9,0.586056, 0.381313, 0.133059
5,0,0.172827, 0.181804, 0.470915
5,1,0.280454, 0.240197, 0.616213
5,2,0.402207, 0.287539, 0.712484
5,3,0.501981, 0.320963, 0.716524
5,4,0.61116, 0.347529, 0.667464
5,5,0.704469, 0.343794, 0.527669
5,6,0.762904, 0.352562, 0.394996
5,7,0.747912, 0.34407, 0.287738
5,8,0.70194, 0.333897, 0.198097
5,9,0.557364, 0.27471, 0.149366
6,0,0.15239, 0.104701, 0.365693
6,1,0.276806, 0.148461, 0.51671
6,2,0.39394, 0.176937, 0.605708
6,3,0.562311, 0.244506, 0.656285
6,4,0.640907, 0.23134, 0.637386
6,5,0.725946, 0.237797, 0.517313
6,6,0.774081, 0.258131, 0.405692
6,7,0.738407, 0.239544, 0.301861
6,8,0.656445, 0.221782, 0.198746
6,9,0.513953, 0.196825, 0.149155
7,0,0.121009, 0.0797968, 0.279321
7,1,0.216781, 0.0789211, 0.379232
7,2,0.354653, 0.116215, 0.483946
7,3,0.476395, 0.164953, 0.526722
7,4,0.595453, 0.175133, 0.537574
7,5,0.682789, 0.169512, 0.483546
7,6,0.715765, 0.188505, 0.403048
7,7,0.645446, 0.149331, 0.28256
7,8,0.573075, 0.130309, 0.189163
7,9,0.425002, 0.136728, 0.0952331
8,0,0.106898, 0.0829794, 0.137191
8,1,0.160756, 0.0485315, 0.232845
8,2,0.258469, 0.103564, 0.319469
8,3,0.387029, 0.100173, 0.388127
8,4,0.478513, 0.120697, 0.398408
8,5,0.541267, 0.119112, 0.360081
8,6,0.577668, 0.108868, 0.298398
8,7,0.500788, 0.0810403, 0.218967
8,8,0.44599, 0.0806415, 0.145792
8,9,0.307409, 0.0557348, 0.0731651
9,0,0.0469722, 0.0603545, 0.100122
9,1,0.0847723, 0.0927637, 0.147845
9,2,0.160836, 0.0863032, 0.190745
9,3,0.266468, 0.0558895, 0.236318
9,4,0.342164, 0.0850019, 0.249006
9,5,0.363995, 0.0885852, 0.226732
9,6,0.37377, 0.0633116, 0.183595
9,7,0.338659, 0.0526666, 0.162797
9,8,0.275946, 0.0752257, 0.0876817
9,9,0.215112, 0.0376692, 0.0449143
