x,y,r,g,b
0,0,0.0599765, 0.126076, 0.221585
0,1,0.129335, 0.254185, 0.274664
0,2,0.172788, 0.357807, 0.35153
0,3,0.179549, 0.457496, 0.380227
0,4,0.212631, 0.549994, 0.372589
0,5,0.281968, 0.58652, 0.326208
0,6,0.280576, 0.552193, 0.233842
0,7,0.269075, 0.500986, 0.142655
0,8,0.221865, 0.389937, 0.0923016
0,9,0.155319, 0.298238, 0.0406795
1,0,0.0826587, 0.156765, 0.277945
1,1,0.123098, 0.29676, 0.396172
1,2,0.19895, 0.401901, 0.452113
1,3,0.218699, 0.521489, 0.498206
1,4,0.286731, 0.616274, 0.46008
1,5,0.379066, 0.666163, 0.377609
1,6,0.370553, 0.64282, 0.257158
1,7,0.395835, 0.57608, 0.162814
1,8,0.35949, 0.470184, 0.115254
1,9,0.286257, 0.358188, 0.0580703
2,0,0.120629, 0.176685, 0.379768
2,1,0.176332, 0.288632, 0.492867
2,2,0.243929, 0.412062, 0.56096
2,3,0.290743, 0.522444, 0.574924
2,4,0.356355, 0.605865, 0.508301
2,5,0.452977, 0.661303, 0.424642
2,6,0.462415, 0.653634, 0.293216
2,7,0.505458, 0.614634, 0.19263
2,8,0.462424, 0.493699, 0.131001
2,9,0.360666, 0.380079, 0.0706903
3,0,0.101073, 0.181746, 0.423626
3,1,0.184519, 0.287643, 0.5449
3,2,0.29602, 0.372943, 0.630721
3,3,0.341368, 0.454927, 0.624155
3,4,0.433179, 0.532654, 0.550394
3,5,0.532097, 0.580111, 0.449723
3,6,0.555202, 0.589571, 0.33373
3,7,0.601359, 0.562128, 0.254825
3,8,0.580301, 0.502922, 0.146792
3,9,0.43854, 0.376788, 0.0992375
4,0,0.128287, 0.148566, 0.403296
4,1,0.208492, 0.233962, 0.573147
4,2,0.294178, 0.321412, 0.659052
4,3,0.372202, 0.384001, 0.650092
4,4,0.490945, 0.453432, 0.571578
4,5,0.595481, 0.50195, 0.471963
4,6,0.638729, 0.513313, 0.360463
4,7,0.672498, 0.499658, 0.268691
4,8,0.625455, 0.447442, 0.162232
4,9,0.48025, 0.346898, 0.125777
5,0,0.107013, 0.107856, 0.371045
5,1,0.213489, 0.165673, 0.529435
5,2,0.319294, 0.228171, 0.644855
5,3,0.401489, 0.265297, 0.645399
5,4,0.549237, 0.320729, 0.589632
5,5,0.642041, 0.351632, 0.484542
5,6,0.687172, 0.377439, 0.36214
5,7,0.678198, 0.388097, 0.287509
5,8,0.591302, 0.37072, 0.194435
5,9,0.451348, 0.266291, 0.14663
6,0,0.0848712, 0.080044, 0.300386
6,1,0.194322, 0.117113, 0.445186
6,2,0.261758, 0.138015, 0.510701
6,3,0.393701, 0.159971, 0.541729
6,4,0.52472, 0.188032, 0.558241
6,5,0.620762, 0.228527, 0.454225
6,6,0.675598, 0.26201, 0.344328
6,7,0.652307, 0.269302, 0.29005
6,8,0.546194, 0.245594, 0.183908
6,9,0.404357, 0.198072, 0.153498
7,0,0.0551514, 0.0535222, 0.208315
7,1,0.132895, 0.0358022, 0.28952
7,2,0.228982, 0.0612301, 0.371066
7,3,0.313776, 0.0948867, 0.397217
7,4,0.45033, 0.120317, 0.418277
7,5,0.503985, 0.130508, 0.371266
7,6,0.54188, 0.141055, 0.292225
7,7,0.509214, 0.138474, 0.240829
7,8,0.427505, 0.131415, 0.170169
7,9,0.301251, 0.129224, 0.0786249
8,0,0.0535565, 0.0620397, 0.0669353
8,1,0.0923705, 0.0121819, 0.148296
8,2,0.145411, 0.067139, 0.206697
8,3,0.238709, 0.0406543, 0.258081
8,4,0.323451, 0.0672274, 0.261436
8,5,0.349845, 0.0629936, 0.227658
8,6,0.395702, 0.0478414, 0.182408
8,7,0.335166, 0.0475987, 0.15451
8,8,0.292872, 0.0584635, 0.0964241
8,9,0.184715, 0.0315966, 0.0501303
9,0,0.00392157, 0.0431373, 0.0470588
9,1,0.0316188, 0.0722487, 0.0835526
9,2,0.0681197, 0.0620397, 0.0973802
9,3,0.13699, 0.00990049, 0.117473
9,4,0.205048, 0.0430574, 0.122299
9,5,0.201252, 0.0501965, 0.100034
9,6,0.216186, 0.0212972, 0.075658
9,7,0.210614, 0.0346433, 0.10017
9,8,0.159665, 0.0677494, 0.0319837
9,9,0.143532, 0.0272947, 0.0203539
