x,y,r,g,b
0,0,0.010256, 0.010256, 0.0615363
0,1,0.0665615, 0.0385356, 0.014013
0,2,0.0765479, 0.0519005, 0.0387315
0,3,0.064288, 0.0698035, 0.0513432
0,4,0.0740552, 0.106724, 0.0771772
0,5,0.0859101, 0.148649, 0.0825925
0,6,0.0882211, 0.103947, 0.0520205
0,7,0.0639764, 0.131119, 0.0264131
0,8,0.0332173, 0.103022, 0.0567989
0,9,0.0367235, 0.0911577, 0.0291184
1,0,0.0269669, 0.00960988, 0.0480565
1,1,0.0327699, 0.0458566, 0.099847
1,2,0.101659, 0.0680447, 0.0824343
1,3,0.15993, 0.129634, 0.158703
1,4,0.165438, 0.161848, 0.137335
1,5,0.178166, 0.216126, 0.128813
1,6,0.167765, 0.189585, 0.11761
1,7,0.168651, 0.153044, 0.0751428
1,8,0.11948, 0.158025, 0.0982188
1,9,0.102556, 0.118462, 0.040516
2,0,0.0733958, 0.026056, 0.156478
2,1,0.109797, 0.0288178, 0.223655
2,2,0.156906, 0.111976, 0.262491
2,3,0.225015, 0.192294, 0.277157
2,4,0.26602, 0.25133, 0.276137
2,5,0.294475, 0.263715, 0.238145
2,6,0.271979, 0.299014, 0.230396
2,7,0.265855, 0.214825, 0.181104
2,8,0.139999, 0.149417, 0.113005
2,9,0.0639764, 0.103389, 0.0425024
3,0,0.0354754, 0.0386677, 0.202931
3,1,0.0974054, 0.0730433, 0.238024
3,2,0.204939, 0.123566, 0.305529
3,3,0.316653, 0.193062, 0.361229
3,4,0.368871, 0.247644, 0.340869
3,5,0.435632, 0.327961, 0.287198
3,6,0.396676, 0.366055, 0.273617
3,7,0.324571, 0.278154, 0.219803
3,8,0.217216, 0.189876, 0.142546
3,9,0.0903738, 0.0903952, 0.063064
4,0,0.0847459, 0.0141713, 0.1945
4,1,0.123637, 0.0453233, 0.327692
4,2,0.228944, 0.10622, 0.389528
4,3,0.340362, 0.183367, 0.444729
4,4,0.426817, 0.243635, 0.405035
4,5,0.483128, 0.321875, 0.356493
4,6,0.459931, 0.305617, 0.311003
4,7,0.363038, 0.242853, 0.204473
4,8,0.279681, 0.162472, 0.125088
4,9,0.120736, 0.0843161, 0.0844872
5,0,0.0581497, 0.0220807, 0.211255
5,1,0.130543, 0.0528891, 0.3269
5,2,0.259271, 0.108906, 0.453196
5,3,0.333121, 0.170116, 0.450467
5,4,0.445393, 0.213692, 0.422185
5,5,0.485437, 0.220762, 0.359368
5,6,0.453803, 0.24017, 0.273251
5,7,0.385219, 0.221666, 0.207008
5,8,0.254913, 0.177789, 0.139184
5,9,0.118716, 0.0545997, 0.0982258
6,0,0.0607031, 0.0299128, 0.191926
6,1,0.141398, 0.0528537, 0.293282
6,2,0.208817, 0.0769906, 0.347385
6,3,0.337058, 0.125603, 0.365862
6,4,0.392473, 0.146785, 0.35934
6,5,0.467795, 0.156841, 0.320379
6,6,0.479881, 0.182614, 0.243052
6,7,0.356468, 0.154204, 0.19228
6,8,0.262665, 0.114881, 0.113262
6,9,0.137173, 0.0756863, 0.0962444
7,0,0.0574661, 0.0417924, 0.17513
7,1,0.110833, 0.0224144, 0.214441
7,2,0.20484, 0.0512731, 0.283121
7,3,0.255795, 0.0984866, 0.288831
7,4,0.334293, 0.0976596, 0.303177
7,5,0.363043, 0.0869659, 0.273027
7,6,0.371221, 0.0818648, 0.209886
7,7,0.306533, 0.0570384, 0.157627
7,8,0.236319, 0.0465683, 0.123611
7,9,0.12749, 0.0651243, 0.0202111
8,0,0.0535565, 0.0620397, 0.0669353
8,1,0.0682951, 0.0126932, 0.112592
8,2,0.114005, 0.0711895, 0.158898
8,3,0.179683, 0.0452787, 0.194644
8,4,0.219098, 0.0561391, 0.178886
8,5,0.230128, 0.0423291, 0.138962
8,6,0.274313, 0.0131275, 0.0933999
8,7,0.198748, 0.00738344, 0.0742343
8,8,0.181321, 0.0221114, 0.0530548
8,9,0.0856095, 0, 0.0106956
9,0,0.00392157, 0.0431373, 0.0470588
9,1,0.0117647, 0.0745098, 0.054902
9,2,0.0430265, 0.0646435, 0.0595389
9,3,0.109704, 0.0104112, 0.0720027
9,4,0.153744, 0.0364544, 0.0653866
9,5,0.142792, 0.041025, 0.0419406
9,6,0.155955, 0.0061592, 0.0216321
9,7,0.151693, 0.0191833, 0.0575162
9,8,0.116371, 0.0540675, 0.016457
9,9,0.107628, 0.0144642, 0.00723208
